Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Klaster
PAPUA BARAT,Maybrat,467690,1.89,0
PAPUA BARAT,Manokwari Selatan,586829,2.9,0
PAPUA BARAT,Pegunungan Arfak,157525,0.7,0
PAPUA BARAT,Kota Sorong,9986993,9.95,1
PAPUA,Merauke,10424592,2.19,0
PAPUA,Jayawijaya,4659979,1.62,0
PAPUA,Jayapura,10271631,7.87,1
PAPUA,Nabire,7693272,3.05,0
PAPUA,Kepulauan Yapen,2901321,2.47,0
PAPUA,Biak Numfor,3327269,9.49,1
PAPUA,Paniai,3084841,0.74,0
PAPUA,Puncak Jaya,983029,1.74,0
PAPUA,Mimika,69619313,5.37,0
PAPUA,Boven Digoel,3223281,6.73,1
PAPUA,Mappi,1883775,4.11,0
PAPUA,Asmat,1563594,0.45,0
PAPUA,Yahukimo,1556231,2.25,0
PAPUA,Pegunungan Bintang,1444833,4.43,0
PAPUA,Tolikara,1068562,1.12,0
PAPUA,Sarmi,1862596,3.5,0
PAPUA,Keerom,2048897,1.41,0
PAPUA,Waropen,1485621,8.56,1
PAPUA,Supiori,781180,2.66,0
PAPUA,Mamberamo Raya,1030714,1.91,0
PAPUA,Nduga *,815251,0.0,0
PAPUA,Lanny Jaya,1202144,0.0,0
PAPUA,Mamberamo Tengah,769368,0.9,0
PAPUA,Yalimo,782619,0.41,0
PAPUA,Puncak,831070,0.94,0
PAPUA,Dogiyai,906904,5.68,0
PAPUA,Intan Jaya,767101,1.43,0
PAPUA,Deiyai,841296,0.79,0
PAPUA,Kota Jayapura,22852202,11.67,1
