Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Klaster
SUMATERA SELATAN,Kota Pagar Alam,2332447,1.64,0
SUMATERA SELATAN,Kota Lubuklinggau,4470232,6.27,0
BENGKULU,Bengkulu Selatan,3742506,2.55,0
BENGKULU,Rejang Lebong,6274229,2.45,0
BENGKULU,Bengkulu Utara,5425357,3.51,0
BENGKULU,Kaur,2333305,3.45,0
BENGKULU,Seluma,2932955,3.44,0
BENGKULU,Mukomuko,3429923,3.68,0
BENGKULU,Lebong,2192263,3.18,0
BENGKULU,Kepahiang,2894350,1.89,0
BENGKULU,Bengkulu Tengah,2951442,4.07,0
BENGKULU,Kota Bengkulu,15833195,6.35,1
LAMPUNG,Lampung Barat,5053324,2.83,0
LAMPUNG,Tanggamus,10924782,2.93,0
LAMPUNG,Lampung Selatan,30541213,5.27,0
LAMPUNG,Lampung Timur,29000404,3.05,0
LAMPUNG,Lampung Tengah,48710038,4.31,0
LAMPUNG,Lampung Utara,16727892,6.14,0
LAMPUNG,Way Kanan,9736500,3.36,0
LAMPUNG,Tulangbawang,16062917,4.1,0
LAMPUNG,Pesawaran,11492493,4.19,0
LAMPUNG,Pringsewu,7870162,4.85,0
LAMPUNG,Mesuji,7107313,3.42,0
LAMPUNG,Tulang Bawang Barat,7970781,3.35,0
LAMPUNG,Pesisir Barat,3133190,3.08,0
LAMPUNG,Kota Bandar Lampung,39818098,8.85,1
LAMPUNG,Kota Metro,4358386,5.0,0
KEP. BANGKA BELITUNG,Bangka,10733700,5.97,0
KEP. BANGKA BELITUNG,Belitung,6710007,3.51,0
KEP. BANGKA BELITUNG,Bangka Barat,10331789,3.83,0
KEP. BANGKA BELITUNG,Bangka Tengah,5986898,4.95,0
KEP. BANGKA BELITUNG,Bangka Selatan,6275555,5.29,0
KEP. BANGKA BELITUNG,Belitung Timur,5713650,3.78,0
KEP. BANGKA BELITUNG,Kota Pangkal Pinang,9611883,6.81,1
KEPULAUAN RIAU,Karimun,9332771,7.2,1
KEPULAUAN RIAU,Bintan,13933491,8.62,1
KEPULAUAN RIAU,Natuna,14645400,5.15,0
KEPULAUAN RIAU,Lingga,2971547,4.23,0
KEPULAUAN RIAU,Kepulauan Anambas,11108487,1.27,0
KEPULAUAN RIAU,Kota Batam,111068955,11.64,1
KEPULAUAN RIAU,Kota Tanjung Pinang,14020211,6.31,1
DKI JAKARTA,Kepulauan Seribu,3649179,8.58,1
DKI JAKARTA,Kota Jakarta Selatan,429398830,7.33,2
DKI JAKARTA,Kota Jakarta Timur,313842135,8.23,2
DKI JAKARTA,Kota Jakarta Pusat,460081046,7.75,2
DKI JAKARTA,Kota Jakarta Barat,327622101,9.06,2
DKI JAKARTA,Kota Jakarta Utara,330894597,9.84,2
JAWA BARAT,Bogor,159582645,12.22,1
JAWA BARAT,Sukabumi,47933519,9.51,1
JAWA BARAT,Cianjur,32897517,9.32,1
JAWA BARAT,Bandung,83947149,8.32,1
JAWA BARAT,Garut,39981191,8.68,1
JAWA BARAT,Tasikmalaya,25179475,6.16,1
JAWA BARAT,Ciamis,22774934,5.06,0
JAWA BARAT,Kuningan,17483024,11.68,1
JAWA BARAT,Cirebon,34128554,10.38,1
JAWA BARAT,Majalengka,22788754,5.71,0
JAWA BARAT,Sumedang,24414663,9.18,1
JAWA BARAT,Indramayu,59544866,8.3,1
JAWA BARAT,Subang,29023194,9.77,1
JAWA BARAT,Purwakarta,46840149,10.7,1
JAWA BARAT,Karawang,166941492,11.83,1
JAWA BARAT,Bekasi,251828575,10.09,2
JAWA BARAT,Bandung Barat,31701786,11.65,1
JAWA BARAT,Pangandaran,8022781,3.25,0
JAWA BARAT,Kota Bogor,33372476,11.79,1
JAWA BARAT,Kota Sukabumi,8851051,10.78,1
JAWA BARAT,Kota Bandung,200414035,11.46,2
