Klaster,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Indeks Pembangunan Manusia,Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Persentase rumah tangga yang memiliki akses terhadap air minum layak,Rata-rata Lama Sekolah Penduduk 15+ (Tahun),Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun),Umur Harapan Hidup (Tahun),Tingkat Partisipasi Angkatan Kerja
0,56592088.57377049,7.996803278688525,7.314262295081967,77.73139344262295,90.035,96.45303278688525,10.241147540983608,13593.573770491803,72.87975409836065,65.85286885245901
1,12130543.215686275,4.357955182072829,12.158795518207281,68.67588235294117,76.95140056022409,84.0759943977591,8.121932773109243,9659.689075630253,69.0035294117647,69.50106442577031
2,1562774.0571428572,1.9765714285714289,30.72485714285714,55.481142857142856,35.02942857142857,56.509142857142855,5.356285714285714,5714.742857142857,65.086,81.68
