Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Prob_Klaster_3,Klaster
SUMATERA UTARA,Samosir,0.3414470940032986,4.933899156230786e-58,0.006996691331172292,0.6515562146655292,3
SUMATERA UTARA,Serdang Bedagai,0.9066195959477489,9.805586469512496e-27,0.09338040405225115,1.1164020292591961e-41,0
SUMATERA UTARA,Batu Bara,0.5966198006753862,8.93012041456875e-21,0.40338019932461394,5.011256929956968e-68,0
SUMATERA UTARA,Padang Lawas Utara,0.9841376576175933,8.90011167605002e-35,0.015816379504117274,4.5962878289425486e-05,0
SUMATERA UTARA,Padang Lawas,0.9803317325754256,8.321346470065893e-28,0.019440232658769544,0.00022803476580482673,0
SUMATERA UTARA,Labuhan Batu Selatan,0.9012342818661667,2.446166234439088e-23,0.09876571813383338,4.4456632767282154e-40,0
SUMATERA UTARA,Labuhan Batu Utara,0.899082451087871,3.917887844319854e-21,0.10091754891212905,2.8181588071664715e-32,0
SUMATERA UTARA,Nias Utara,0.0014733418040096407,2.209297632889474e-94,2.3962495859595847e-07,0.9985264185710317,3
SUMATERA UTARA,Nias Barat,0.0005635969538890086,6.246441718722563e-118,8.31012958007442e-08,0.9994363199448152,3
SUMATERA UTARA,Kota Sibolga,0.022935836463501814,6.683462282139523e-14,0.1591290614822448,0.8179351020541864,3
SUMATERA UTARA,Kota Tanjung Balai,0.527686796032745,3.0029576976582376e-24,0.0823434007229966,0.38996980324425834,0
SUMATERA UTARA,Kota Pematang Siantar,0.005317921101555476,0.0026628909067175125,0.9919720846892018,4.7103302525449766e-05,2
SUMATERA UTARA,Kota Tebing Tinggi,0.043580123966262166,5.9506793651372056e-12,0.16223364200944596,0.7941862340183413,3
SUMATERA UTARA,Kota Medan,2.1167164569358986e-118,0.99938063139804,0.0006193686019597887,0.0,1
SUMATERA UTARA,Kota Binjai,0.6522301631592675,1.0577920875206186e-08,0.3308665017543,0.016903324508511574,0
SUMATERA UTARA,Kota Padangsidimpuan,0.15058837127646338,6.930476366386825e-13,0.06850073253717508,0.7809108961856684,3
SUMATERA UTARA,Kota Gunungsitoli,0.11447898051558715,1.5381089309386025e-42,0.002805491508360787,0.882715527976052,3
SUMATERA BARAT,Kepulauan Mentawai,0.2276691182244829,4.2192548422030113e-50,0.0033638725061508144,0.7689670092693662,3
SUMATERA BARAT,Pesisir Selatan,0.938492959334838,1.2073398487000205e-17,0.06150193338688029,5.107278281615998e-06,0
SUMATERA BARAT,Solok,0.9750069351866115,1.042911320169203e-23,0.024992705631812707,3.591815758535658e-07,0
SUMATERA BARAT,Sijunjung,0.9705654227629377,9.726227444125592e-28,0.012320093677761589,0.017114483559300744,0
SUMATERA BARAT,Tanah Datar,0.9870648987443046,2.743886681399533e-20,0.012931516040615588,3.5852150798891163e-06,0
SUMATERA BARAT,Padang Pariaman,0.4846448927902725,5.8095944760436886e-08,0.5153550487049023,4.088801429648346e-10,2
SUMATERA BARAT,Agam,0.9593089991786586,4.151002991295004e-20,0.040691000821341416,8.445611394148049e-20,0
SUMATERA BARAT,Lima Puluh Kota,0.9847685997687476,2.828375331556408e-35,0.01523140013390715,9.734516483538326e-11,0
SUMATERA BARAT,Pasaman,0.874563712093633,6.080712060330573e-22,0.027048879870072807,0.0983874080362942,0
SUMATERA BARAT,Solok Selatan,0.4195371436337865,1.164495297398615e-22,0.015551832061848955,0.5649110243043645,3
SUMATERA BARAT,Dharmasraya,0.9691153306088545,1.3943914967297348e-20,0.025777221878832142,0.005107447512313376,0
SUMATERA BARAT,Pasaman Barat,0.9691088791354592,2.5743174232862387e-21,0.030891120662709833,2.018310518183478e-10,0
SUMATERA BARAT,Kota Padang,3.935688881298064e-09,0.20643847568993134,0.7935615203743794,7.320711092253124e-255,2
SUMATERA BARAT,Kota Solok,0.4579774117305324,1.0680251284761516e-17,0.007842440317301013,0.5341801479521666,3
SUMATERA BARAT,Kota Sawah Lunto,0.32603313669357215,6.030667066833835e-13,0.016553371096999246,0.6574134922088256,3
SUMATERA BARAT,Kota Padang Panjang,0.5140820803874645,1.697661456585508e-20,0.017769601839255973,0.4681483177732795,0
SUMATERA BARAT,Kota Bukittinggi,0.6860697128270097,9.347965384040834e-15,0.038461403869712814,0.27546888330326813,0
SUMATERA BARAT,Kota Payakumbuh,0.2515060170220345,2.5616452965176957e-14,0.03425109167559975,0.7142428913023402,3
SUMATERA BARAT,Kota Pariaman,0.26987492950093767,1.1731352453794904e-14,0.017079516900660997,0.7130455535983896,3
RIAU,Kuantan Singingi,0.4731846886483745,3.825237492118288e-37,0.5268153113516253,2.9934473350815623e-71,2
RIAU,Indragiri Hulu,0.04723751251851433,3.249862103644139e-25,0.9527624874814857,8.158999530719921e-118,2
RIAU,Indragiri Hilir,5.2082811179011936e-08,1.2289003457654011e-27,0.9999999479171886,2.9852443880572727e-294,2
RIAU,Pelalawan,0.000691704723147606,8.45909219029677e-36,0.9993082952768525,5.303872000243322e-173,2
RIAU,Siak,4.545060288864089e-11,3.1976985976692014e-18,0.9999999999545492,0.0,2
