Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Prob_Klaster_3,Prob_Klaster_4,Prob_Klaster_5,Klaster
ACEH,Aceh Tamiang,0.15670170596751687,0.15815887640805282,2.5380101430366406e-27,0.37483343809411795,0.2916951869510024,0.01861079257931002,3
ACEH,Nagan Raya,0.015409965741704766,0.4580753159308799,1.6168870272505815e-46,0.005630125899182761,0.5208840849258947,5.075023379155001e-07,4
ACEH,Aceh Jaya,0.0022779378996694083,0.47655506680528786,5.3926383026902804e-42,0.5209563210642252,9.043708801956659e-05,0.00012023714279792173,3
ACEH,Bener Meriah,0.00042104772543762763,0.28183752915999977,1.0945137124410737e-77,0.7175936224945998,0.00014780045201709567,1.6794553939816878e-10,3
ACEH,Pidie Jaya,0.0001379438907880775,0.03313210915622196,1.9392298134042411e-62,0.9656083601433368,0.0011215867951446137,1.450855306139245e-11,3
ACEH,Kota Banda Aceh,0.2377523940551475,1.0895580869549238e-07,3.805291001262939e-07,2.3033201881282553e-26,0.31334692245680634,0.44890019400313746,5
ACEH,Kota Sabang,0.0033692041270418213,0.36791717661811985,4.151682849466432e-47,0.6283035906601213,0.0004077835896052741,2.245005111855808e-06,3
ACEH,Kota Langsa,0.08218074420134623,6.838649605388897e-05,3.161863660875803e-17,0.8147951527321959,0.05346847335760678,0.04948724321279719,3
ACEH,Kota Lhokseumawe,0.5658668844717768,3.435625271651895e-16,1.3417787733106675e-05,1.0338184887552418e-05,0.4317491710667034,0.0023601884888984873,0
ACEH,Kota Subulussalam,0.013452570989641005,0.00022852182272604439,6.894028063381614e-38,0.8174739753652981,0.168844904988211,2.6834124134012243e-08,3
SUMATERA UTARA,Nias,0.0005502232043678187,0.21229784468541277,2.3256840684952454e-55,0.786911797194429,0.00024009479711277105,4.011867765475798e-08,3
SUMATERA UTARA,Mandailing Natal,0.042452452622184125,0.0399537943227241,2.4096857005467403e-19,2.001286627519891e-07,0.04881382662939425,0.8687797262970347,5
SUMATERA UTARA,Tapanuli Selatan,0.0026786786169021876,0.7139048787145222,3.8834027736175525e-29,9.114840660945983e-10,0.0008873300198947654,0.28252911173719675,1
SUMATERA UTARA,Tapanuli Tengah,0.24365654290237956,0.0006585757072138326,1.1564665811606774e-19,0.007559746040204553,0.7115167591584474,0.03660837619175457,4
SUMATERA UTARA,Tapanuli Utara,0.0009187965987350541,0.9794030820317442,8.831173555428425e-46,0.001191433078992581,3.599889299389924e-06,0.018483088401228823,1
SUMATERA UTARA,Toba Samosir,0.0017282366283443789,0.950373626511257,1.3951158580972315e-48,0.0030988740634787324,1.2776800713655441e-06,0.044797985116848404,1
SUMATERA UTARA,Labuhan Batu,0.07130106687695817,6.133322637333173e-05,1.67327885167765e-19,5.298863914793784e-82,0.2941349631362004,0.6345026367604683,5
SUMATERA UTARA,Asahan,0.2369072971257136,8.857853314421071e-07,7.723911375091562e-17,4.80083830405971e-108,0.4408653153896474,0.3222265016993074,4
SUMATERA UTARA,Simalungun,0.08728085080748411,3.9779683035773517e-07,4.0026728755197075e-26,1.7555545686215333e-123,0.42227409881385136,0.4904446525818341,5
SUMATERA UTARA,Dairi,0.0007955141662795023,0.9366498290377131,3.8139803335829226e-43,0.0002143730443789384,2.514659306265138e-06,0.06233776909232215,1
SUMATERA UTARA,Karo,0.005252299908266362,0.15661678626094688,4.1566652559730785e-40,8.751132678256455e-27,0.001527176984620946,0.8366037368461657,5
SUMATERA UTARA,Deli Serdang,0.9980648151742905,3.3928349031864293e-66,0.0019351848257090681,0.0,6.254487369753907e-16,1.0813024089717234e-27,0
SUMATERA UTARA,Langkat,0.2120702504002339,5.8698624225294956e-08,2.1024140553426334e-23,6.98925995946105e-139,0.4779047831136176,0.3100249077875242,4
SUMATERA UTARA,Nias Selatan,0.0016903042073650866,0.31194241915508514,5.50317678298217e-50,0.6824844681582645,0.003882539323528947,2.691557563505585e-07,3
SUMATERA UTARA,Humbang Hasundutan,0.0006098479683436472,0.9468399852785958,2.489279237888797e-43,0.04398082053326283,1.4520754163634854e-06,0.0085678941443814,1
SUMATERA UTARA,Pakpak Bharat,0.001074525183593888,0.9755999786912625,2.860198977741313e-46,0.01851182468309983,9.250660488749141e-08,0.004813578935438804,1
SUMATERA UTARA,Samosir,0.0023336252299878913,0.7957413898985385,6.584126822513835e-59,0.2016926126529601,1.646637959669933e-06,0.00023072558055399278,1
SUMATERA UTARA,Serdang Bedagai,0.010742526263629764,0.0068498204052028465,1.0228746207978584e-27,2.8813905042375454e-53,0.03975733985846377,0.9426503134727036,5
SUMATERA UTARA,Batu Bara,0.2112858679302929,1.4694856157073942e-05,3.2174180020785896e-21,1.8717672832163825e-85,0.6086727987614629,0.1800266384520871,4
SUMATERA UTARA,Padang Lawas Utara,0.0012786767786362554,0.9478917755685007,5.8128924246419495e-36,4.1501980620347235e-07,0.00015739844545457367,0.050671734187602284,1
SUMATERA UTARA,Padang Lawas,0.0024068595287620206,0.7755620416512098,1.0797682760991828e-28,5.831488070606401e-06,0.0004329439686262283,0.22159232336333137,1
SUMATERA UTARA,Labuhan Batu Selatan,0.01568336590276775,0.0066134075397158605,3.602319011413886e-24,4.632572387554453e-51,0.06538407470016983,0.9123191518573466,5
SUMATERA UTARA,Labuhan Batu Utara,0.03980569369667485,0.008019505812140301,1.3095370064514783e-21,6.73946711852551e-41,0.17001135310109983,0.7821634473900851,5
SUMATERA UTARA,Nias Utara,3.391770287593727e-07,0.0005672249192841665,1.8886884361280193e-95,0.9983014288202698,0.0011310070834172688,2.3522864915452483e-22,3
SUMATERA UTARA,Nias Barat,1.5184347163360786e-07,0.00016456017542658898,2.7596271392342486e-119,0.9998046928172902,3.059516381167804e-05,9.1735896188992e-25,3
SUMATERA UTARA,Kota Sibolga,0.3038503094547039,9.879301978219046e-09,1.1446786528626663e-13,0.1905005349970125,0.5007160385471987,0.004933107121668435,4
SUMATERA UTARA,Kota Tanjung Balai,0.17911931315422694,0.007654491029608671,4.460024651363769e-24,0.33233933907459046,0.4699138765895378,0.010972980152036122,4
SUMATERA UTARA,Kota Pematang Siantar,0.6610473924256571,1.0166179209736709e-14,0.002079355781515018,1.3237629906586682e-08,0.28916259853035753,0.047710640024829915,0
SUMATERA UTARA,Kota Tebing Tinggi,0.28215176815178356,1.8912872542926302e-07,1.0883813361736924e-11,0.39888078518783193,0.20242718902213377,0.11654006849864139,3
SUMATERA UTARA,Kota Medan,0.0011221655804936658,0.0,0.9988778344195065,0.0,2.4158406666559046e-115,1.7146601837900887e-134,2
SUMATERA UTARA,Kota Binjai,0.02993792074924075,9.387389869718862e-06,1.4897516147623438e-09,0.00019921902442401117,0.02009050879469531,0.9497629625520186,5
SUMATERA UTARA,Kota Padangsidimpuan,0.02563787320135362,5.685165609563278e-05,3.5734855931338076e-13,0.42996469856442787,0.005990535470962146,0.5383500411068034,5
SUMATERA UTARA,Kota Gunungsitoli,0.002043391301900397,0.031983275784462036,4.167177911312623e-43,0.9600976620796265,0.005875232589180625,4.3824483035689313e-07,3
SUMATERA BARAT,Kepulauan Mentawai,0.0008636276243608671,0.5176911618460879,3.823432353780002e-51,0.48137540071573953,6.553667030938846e-05,4.273143502266585e-06,1
SUMATERA BARAT,Pesisir Selatan,0.013804928088022611,0.02886449998151535,3.305655763419116e-18,4.8860834750754104e-08,0.01134570735830927,0.945984815711318,5
SUMATERA BARAT,Solok,0.0043847667857829994,0.38711201003114865,2.1179016976291893e-24,1.92543072623686e-09,0.0020551901928270245,0.6064480310648107,5
SUMATERA BARAT,Sijunjung,0.0007097106411135812,0.7999276998658343,8.102119234263389e-29,0.0008183512869503116,2.6504181818819195e-05,0.19851773402428294,1
SUMATERA BARAT,Tanah Datar,0.0015454578038231034,0.3427366149534579,6.4063806155621385e-21,2.458462823682097e-08,0.0004676758499155161,0.655250226808175,5
SUMATERA BARAT,Padang Pariaman,0.10303802525476362,1.6729092180141013e-06,1.50146070085173e-08,3.8658689608533694e-14,0.14543307632313127,0.7515272104982416,5
SUMATERA BARAT,Agam,0.006437923215535427,0.05414381936993376,8.345814711807111e-21,1.3176747647619453e-25,0.01258955467927639,0.9268287027352544,5
SUMATERA BARAT,Lima Puluh Kota,0.0013876270327086453,0.5775657910729766,2.9702148631321622e-36,1.3643335238163642e-14,0.00011696158776724985,0.42092962030653397,1
SUMATERA BARAT,Pasaman,0.005355552221555559,0.3051236846462813,1.612775647228385e-22,0.027734547977318377,0.0006372714415452709,0.6611489437132996,5
SUMATERA BARAT,Solok Selatan,0.0034461170950777476,0.1489233879060958,3.562033835084829e-23,0.5489626470467373,0.00013804910778193426,0.29852979884430725,3
SUMATERA BARAT,Dharmasraya,0.0036381230115231935,0.22281383141626646,2.9049260506131726e-21,0.00037543444979084846,0.0006998010298174372,0.7724728100926022,5
