K,BIC,AIC,Silhouette,DBI
2,2977.140681995914,2896.538439952266,0.35639659248743255,1.3232583492901868
3,2672.2144873461966,2549.190012647997,0.11602761626887818,1.856203297138051
4,2581.6811419791184,2416.234434626367,0.15830584193827407,1.435314457493106
5,2550.958188848117,2343.089248840814,0.10845492736946956,1.5139632527296896
6,2544.76840171175,2294.477229049895,0.13174645086688447,1.3899176484316216
7,2559.8434160229754,2267.130010706569,0.13741023349284434,1.2723901457009799
8,2577.318760208674,2242.183122237716,0.06529126089066145,1.7090785093629384
9,2622.600642185123,2245.0427715596134,0.05509489236971604,1.9328420719271575
10,2662.3474637561258,2242.3673604760643,0.039413472259134205,1.940649208001122
