Provinsi,Kab/Kota,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
LAMPUNG,Pringsewu,10.11,2
LAMPUNG,Mesuji,7.54,2
LAMPUNG,Tulang Bawang Barat,8.32,2
LAMPUNG,Pesisir Barat,14.81,0
LAMPUNG,Kota Bandar Lampung,9.11,2
LAMPUNG,Kota Metro,8.93,2
KEP. BANGKA BELITUNG,Bangka,4.81,2
KEP. BANGKA BELITUNG,Belitung,7.15,2
KEP. BANGKA BELITUNG,Bangka Barat,2.75,2
KEP. BANGKA BELITUNG,Bangka Tengah,5.13,2
KEP. BANGKA BELITUNG,Bangka Selatan,3.69,2
KEP. BANGKA BELITUNG,Belitung Timur,7.2,2
KEP. BANGKA BELITUNG,Kota Pangkal Pinang,4.76,2
KEPULAUAN RIAU,Karimun,6.85,2
KEPULAUAN RIAU,Bintan,6.42,2
KEPULAUAN RIAU,Natuna,4.95,2
KEPULAUAN RIAU,Lingga,13.93,0
KEPULAUAN RIAU,Kepulauan Anambas,7.09,2
KEPULAUAN RIAU,Kota Batam,5.05,2
KEPULAUAN RIAU,Kota Tanjung Pinang,9.57,2
DKI JAKARTA,Kepulauan Seribu,15.06,0
DKI JAKARTA,Kota Jakarta Selatan,3.56,2
DKI JAKARTA,Kota Jakarta Timur,4.28,2
DKI JAKARTA,Kota Jakarta Pusat,4.94,2
DKI JAKARTA,Kota Jakarta Barat,4.31,2
DKI JAKARTA,Kota Jakarta Utara,7.24,2
JAWA BARAT,Bogor,8.13,2
JAWA BARAT,Sukabumi,7.7,2
JAWA BARAT,Cianjur,11.18,0
JAWA BARAT,Bandung,7.15,2
JAWA BARAT,Garut,10.65,2
JAWA BARAT,Tasikmalaya,11.15,0
JAWA BARAT,Ciamis,7.97,2
JAWA BARAT,Kuningan,13.1,0
JAWA BARAT,Cirebon,12.3,0
JAWA BARAT,Majalengka,12.33,0
JAWA BARAT,Sumedang,10.71,2
JAWA BARAT,Indramayu,13.04,0
JAWA BARAT,Subang,10.03,2
JAWA BARAT,Purwakarta,8.83,2
JAWA BARAT,Karawang,8.95,2
JAWA BARAT,Bekasi,5.21,2
JAWA BARAT,Bandung Barat,11.3,0
JAWA BARAT,Pangandaran,9.65,2
JAWA BARAT,Kota Bogor,7.24,2
JAWA BARAT,Kota Sukabumi,8.25,2
JAWA BARAT,Kota Bandung,4.37,2
JAWA BARAT,Kota Cirebon,10.03,2
JAWA BARAT,Kota Bekasi,4.74,2
JAWA BARAT,Kota Depok,2.58,2
JAWA BARAT,Kota Cimahi,5.35,2
JAWA BARAT,Kota Tasikmalaya,13.13,0
JAWA BARAT,Kota Banjar,7.11,2
JAWA TENGAH,Cilacap,11.67,0
JAWA TENGAH,Banyumas,13.66,0
JAWA TENGAH,Purbalingga,16.24,0
JAWA TENGAH,Banjarnegara,16.23,0
JAWA TENGAH,Kebumen,17.83,0
JAWA TENGAH,Purworejo,12.4,0
JAWA TENGAH,Wonosobo,17.67,0
JAWA TENGAH,Magelang,11.91,0
JAWA TENGAH,Boyolali,10.62,2
JAWA TENGAH,Klaten,13.49,0
JAWA TENGAH,Sukoharjo,8.23,2
JAWA TENGAH,Wonogiri,11.55,0
JAWA TENGAH,Karanganyar,10.68,2
JAWA TENGAH,Sragen,13.83,0
JAWA TENGAH,Grobogan,12.74,0
JAWA TENGAH,Blora,12.39,0
JAWA TENGAH,Rembang,15.8,0
JAWA TENGAH,Pati,10.21,2
JAWA TENGAH,Kudus,7.6,2
JAWA TENGAH,Jepara,7.44,2
JAWA TENGAH,Demak,12.92,0
JAWA TENGAH,Semarang,7.82,2
JAWA TENGAH,Temanggung,10.17,2
JAWA TENGAH,Kendal,10.24,2
JAWA TENGAH,Batang,9.68,2
JAWA TENGAH,Pekalongan,10.57,2
JAWA TENGAH,Pemalang,16.56,0
JAWA TENGAH,Tegal,8.6,2
JAWA TENGAH,Brebes,17.43,0
JAWA TENGAH,Kota Magelang,7.75,2
JAWA TENGAH,Kota Surakarta,9.4,2
JAWA TENGAH,Kota Salatiga,5.14,2
JAWA TENGAH,Kota Semarang,4.56,2
JAWA TENGAH,Kota Pekalongan,7.59,2
JAWA TENGAH,Kota Tegal,8.12,2
D I YOGYAKARTA,Kulon Progo,18.38,0
D I YOGYAKARTA,Bantul,14.04,0
D I YOGYAKARTA,Gunung Kidul,17.69,0
D I YOGYAKARTA,Sleman,8.64,2
D I YOGYAKARTA,Kota Yogyakarta,7.69,2
JAWA TIMUR,Pacitan,15.11,0
JAWA TIMUR,Ponorogo,10.26,2
JAWA TIMUR,Trenggalek,12.14,0
JAWA TIMUR,Tulungagung,7.51,2
JAWA TIMUR,Blitar,9.65,2
JAWA TIMUR,Kediri,11.64,0
JAWA TIMUR,Malang,10.5,2
JAWA TIMUR,Lumajang,10.05,2
JAWA TIMUR,Jember,10.41,2
JAWA TIMUR,Banyuwangi,8.07,2
JAWA TIMUR,Bondowoso,14.73,0
JAWA TIMUR,Situbondo,12.63,0
JAWA TIMUR,Probolinggo,18.91,0
JAWA TIMUR,Pasuruan,9.7,2
JAWA TIMUR,Sidoarjo,5.93,2
JAWA TIMUR,Mojokerto,10.62,2
JAWA TIMUR,Jombang,10.0,2
JAWA TIMUR,Nganjuk,11.85,0
JAWA TIMUR,Madiun,11.91,0
JAWA TIMUR,Magetan,10.66,2
JAWA TIMUR,Ngawi,15.57,0
JAWA TIMUR,Bojonegoro,13.27,0
JAWA TIMUR,Tuban,16.31,0
JAWA TIMUR,Lamongan,13.86,0
JAWA TIMUR,Gresik,12.42,0
JAWA TIMUR,Bangkalan,21.57,0
JAWA TIMUR,Sampang,23.76,1
JAWA TIMUR,Pamekasan,15.3,0
JAWA TIMUR,Sumenep,20.51,0
JAWA TIMUR,Kota Kediri,7.75,2
JAWA TIMUR,Kota Blitar,7.89,2
JAWA TIMUR,Kota Malang,4.62,2
JAWA TIMUR,Kota Probolinggo,7.44,2
JAWA TIMUR,Kota Pasuruan,6.88,2
JAWA TIMUR,Kota Mojokerto,6.39,2
JAWA TIMUR,Kota Madiun,5.09,2
JAWA TIMUR,Kota Surabaya,5.23,2
JAWA TIMUR,Kota Batu,4.09,2
BANTEN,Pandeglang,10.72,2
BANTEN,Lebak,10.29,2
BANTEN,Tangerang,7.12,2
BANTEN,Serang,5.49,2
BANTEN,Kota Tangerang,5.93,2
BANTEN,Kota Cilegon,4.24,2
BANTEN,Kota Serang,6.79,2
BANTEN,Kota Tangerang Selatan,2.57,2
BALI,Jembrana,5.06,2
BALI,Tabanan,5.12,2
BALI,Badung,2.62,2
BALI,Gianyar,4.85,2
BALI,Klungkung,5.64,2
BALI,Bangli,5.09,2
BALI,Karang Asem,6.78,2
BALI,Buleleng,6.12,2
BALI,Kota Denpasar,2.96,2
NUSA TENGGARA BARAT,Lombok Barat,14.47,0
NUSA TENGGARA BARAT,Lombok Tengah,13.44,0
NUSA TENGGARA BARAT,Lombok Timur,15.38,0
NUSA TENGGARA BARAT,Sumbawa,13.91,0
NUSA TENGGARA BARAT,Dompu,12.6,0
NUSA TENGGARA BARAT,Bima,14.88,0
NUSA TENGGARA BARAT,Sumbawa Barat,13.54,0
NUSA TENGGARA BARAT,Lombok Utara,27.04,1
NUSA TENGGARA BARAT,Kota Mataram,8.65,2
NUSA TENGGARA BARAT,Kota Bima,8.88,2
NUSA TENGGARA TIMUR,Sumba Barat,28.39,1
NUSA TENGGARA TIMUR,Sumba Timur,29.68,1
NUSA TENGGARA TIMUR,Kupang,22.98,1
NUSA TENGGARA TIMUR,Timor Tengah Selatan,26.64,1
NUSA TENGGARA TIMUR,Timor Tengah Utara,22.62,1
NUSA TENGGARA TIMUR,Belu,15.68,0
NUSA TENGGARA TIMUR,Alor,21.09,0
NUSA TENGGARA TIMUR,Lembata,26.21,1
NUSA TENGGARA TIMUR,Flores Timur,11.14,0
NUSA TENGGARA TIMUR,Sikka,13.35,0
NUSA TENGGARA TIMUR,Ende,24.13,1
NUSA TENGGARA TIMUR,Ngada,12.58,0
NUSA TENGGARA TIMUR,Manggarai,20.48,0
NUSA TENGGARA TIMUR,Rote Ndao,28.08,1
NUSA TENGGARA TIMUR,Manggarai Barat,17.92,0
NUSA TENGGARA TIMUR,Sumba Tengah,34.27,1
NUSA TENGGARA TIMUR,Sumba Barat Daya,28.18,1
NUSA TENGGARA TIMUR,Nagekeo,12.91,0
NUSA TENGGARA TIMUR,Manggarai Timur,26.5,1
NUSA TENGGARA TIMUR,Sabu Raijua,30.13,1
NUSA TENGGARA TIMUR,Malaka,16.33,0
NUSA TENGGARA TIMUR,Kota Kupang,9.17,2
KALIMANTAN BARAT,Sambas,7.66,2
KALIMANTAN BARAT,Bengkayang,6.48,2
KALIMANTAN BARAT,Landak,10.99,0
KALIMANTAN BARAT,Pontianak,5.18,2
KALIMANTAN BARAT,Sanggau,4.55,2
KALIMANTAN BARAT,Ketapang,10.13,2
KALIMANTAN BARAT,Sintang,9.28,2
KALIMANTAN BARAT,Kapuas Hulu,8.93,2
KALIMANTAN BARAT,Sekadau,6.26,2
KALIMANTAN BARAT,Melawi,12.01,0
KALIMANTAN BARAT,Kayong Utara,9.33,2
KALIMANTAN BARAT,Kubu Raya,4.34,2
KALIMANTAN BARAT,Kota Pontianak,4.58,2
KALIMANTAN BARAT,Kota Singkawang,4.83,2
KALIMANTAN TENGAH,Kotawaringin Barat,3.95,2
KALIMANTAN TENGAH,Kotawaringin Timur,5.91,2
KALIMANTAN TENGAH,Kapuas,5.35,2
KALIMANTAN TENGAH,Barito Selatan,4.62,2
KALIMANTAN TENGAH,Barito Utara,5.61,2
KALIMANTAN TENGAH,Sukamara,3.66,2
KALIMANTAN TENGAH,Lamandau,3.56,2
KALIMANTAN TENGAH,Seruyan,7.22,2
KALIMANTAN TENGAH,Katingan,5.25,2
KALIMANTAN TENGAH,Pulang Pisau,4.24,2
KALIMANTAN TENGAH,Gunung Mas,5.35,2
KALIMANTAN TENGAH,Barito Timur,6.38,2
KALIMANTAN TENGAH,Murung Raya,6.15,2
KALIMANTAN TENGAH,Kota Palangka Raya,3.75,2
KALIMANTAN SELATAN,Tanah Laut,4.57,2
KALIMANTAN SELATAN,Kota Baru,4.86,2
KALIMANTAN SELATAN,Banjar,3.04,2
KALIMANTAN SELATAN,Barito Kuala,5.11,2
KALIMANTAN SELATAN,Tapin,3.6,2
KALIMANTAN SELATAN,Hulu Sungai Selatan,4.84,2
KALIMANTAN SELATAN,Hulu Sungai Tengah,6.18,2
KALIMANTAN SELATAN,Hulu Sungai Utara,6.83,2
KALIMANTAN SELATAN,Tabalong,6.27,2
KALIMANTAN SELATAN,Tanah Bumbu,4.82,2
KALIMANTAN SELATAN,Balangan,6.07,2
KALIMANTAN SELATAN,Kota Banjarmasin,4.89,2
KALIMANTAN SELATAN,Kota Banjar Baru,4.4,2
KALIMANTAN TIMUR,Paser,9.73,2
KALIMANTAN TIMUR,Kutai Barat,10.24,2
KALIMANTAN TIMUR,Kutai Kartanegara,7.99,2
KALIMANTAN TIMUR,Kutai Timur,9.81,2
KALIMANTAN TIMUR,Berau,5.88,2
KALIMANTAN TIMUR,Penajam Paser Utara,7.61,2
KALIMANTAN TIMUR,Mahakam Hulu,11.9,0
KALIMANTAN TIMUR,Kota Balikpapan,2.89,2
KALIMANTAN TIMUR,Kota Samarinda,4.99,2
KALIMANTAN TIMUR,Kota Bontang,4.62,2
KALIMANTAN UTARA,Malinau,7.3,2
KALIMANTAN UTARA,Bulungan,10.03,2
KALIMANTAN UTARA,Tana Tidung,5.15,2
KALIMANTAN UTARA,Nunukan,6.79,2
KALIMANTAN UTARA,Kota Tarakan,6.71,2
SULAWESI UTARA,Bolaang Mongondow,7.58,2
SULAWESI UTARA,Minahasa,7.67,2
SULAWESI UTARA,Kepulauan Sangihe,11.02,0
SULAWESI UTARA,Kepulauan Talaud,9.0,2
SULAWESI UTARA,Minahasa Selatan,9.37,2
SULAWESI UTARA,Minahasa Utara,7.11,2
SULAWESI UTARA,Bolaang Mongondow Utara,8.03,2
SULAWESI UTARA,Siau Tagulandang Biaro,8.94,2
SULAWESI UTARA,Minahasa Tenggara,12.47,0
SULAWESI UTARA,Bolaang Mongondow Selatan,12.85,0
SULAWESI UTARA,Bolaang Mongondow Timur,6.1,2
