Klaster,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen)
0,9040716.934256054,3.3520415224913496,15.563771626297578
1,340226014.75,9.18,4.8925
2,27442214.350230414,7.181566820276498,8.162811059907833
