Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
SULAWESI SELATAN,Tana Toraja,4780984,3.09,12.27,0
SULAWESI SELATAN,Luwu Utara,8491499,3.91,13.59,0
SULAWESI SELATAN,Luwu Timur,16030502,4.96,6.94,0
SULAWESI SELATAN,Toraja Utara,5357129,2.61,11.99,0
SULAWESI SELATAN,Kota Makassar,126312828,13.18,4.82,3
SULAWESI SELATAN,Kota Parepare,5161916,6.72,5.4,0
SULAWESI SELATAN,Kota Palopo,5768275,8.83,8.14,0
SULAWESI TENGGARA,Buton,2847090,4.74,13.92,0
SULAWESI TENGGARA,Muna,5229546,4.97,13.54,0
SULAWESI TENGGARA,Konawe,7826408,4.56,13.03,0
SULAWESI TENGGARA,Kolaka,18999351,3.62,12.43,0
SULAWESI TENGGARA,Konawe Selatan,8655572,2.14,11.34,0
SULAWESI TENGGARA,Bombana,4873717,3.17,10.76,0
SULAWESI TENGGARA,Wakatobi,3220931,2.3,14.91,0
SULAWESI TENGGARA,Kolaka Utara,6525446,3.18,13.79,0
SULAWESI TENGGARA,Buton Utara,2342595,3.0,14.89,0
SULAWESI TENGGARA,Konawe Utara,2957837,3.36,14.32,0
SULAWESI TENGGARA,Kolaka Timur,3413957,3.44,14.35,0
SULAWESI TENGGARA,Konawe Kepulauan,1071100,1.83,17.81,0
SULAWESI TENGGARA,Muna Barat,1926498,2.84,13.96,0
SULAWESI TENGGARA,Buton Tengah,1760036,3.77,15.8,0
SULAWESI TENGGARA,Buton Selatan,2080195,3.92,14.62,0
SULAWESI TENGGARA,Kota Kendari,17165185,5.19,4.87,0
SULAWESI TENGGARA,Kota Baubau,6844689,6.87,7.78,0
GORONTALO,Boalemo,3567638,3.57,19.0,0
GORONTALO,Gorontalo,9082312,2.12,17.89,0
GORONTALO,Pohuwato,4703613,2.45,18.08,0
GORONTALO,Bone Bolango,3224680,3.45,16.3,0
GORONTALO,Gorontalo Utara,2376146,2.3,17.23,0
GORONTALO,Kota Gorontalo,6345632,4.55,5.93,0
SULAWESI BARAT,Majene,3598959,2.85,14.34,0
SULAWESI BARAT,Polewali Mandar,9414992,3.38,15.68,0
SULAWESI BARAT,Mamasa,2255608,2.18,13.77,0
SULAWESI BARAT,Mamuju,8342016,3.79,7.46,0
SULAWESI BARAT,Mamuju Utara,7389296,3.13,4.77,0
SULAWESI BARAT,Mamuju Tengah,2282748,2.52,7.13,0
MALUKU,Maluku Tenggara Barat,1749807,4.4,27.27,2
MALUKU,Maluku Tenggara,2034006,5.06,22.73,2
MALUKU,Maluku Tengah,6028166,8.07,19.84,2
MALUKU,Buru,1611262,4.85,17.28,0
MALUKU,Kepulauan Aru,2356727,1.55,26.53,2
MALUKU,Seram Bagian Barat,2030114,5.65,25.27,2
MALUKU,Seram Bagian Timur,1966542,3.88,23.25,2
MALUKU,Maluku Barat Daya,1091807,1.8,29.55,2
MALUKU,Buru Selatan,923245,1.63,15.89,0
MALUKU,Kota Ambon,10591813,11.32,5.02,0
MALUKU,Kota Tual,1550124,8.71,23.26,2
MALUKU UTARA,Halmahera Barat,1554088,3.26,8.95,0
MALUKU UTARA,Halmahera Tengah,5225848,4.23,13.52,0
MALUKU UTARA,Kepulauan Sula,1663354,2.78,8.23,0
MALUKU UTARA,Halmahera Selatan,6532022,1.94,5.19,0
MALUKU UTARA,Halmahera Utara,3870036,8.01,5.22,0
MALUKU UTARA,Halmahera Timur,2491395,6.78,15.04,0
MALUKU UTARA,Pulau Morotai,1083770,6.27,6.52,0
MALUKU UTARA,Pulau Taliabu,1128880,6.1,7.49,0
MALUKU UTARA,Kota Ternate,7394964,5.7,3.55,0
MALUKU UTARA,Kota Tidore Kepulauan,2062850,2.81,6.58,0
PAPUA BARAT,Fakfak,3474011,7.9,22.86,2
PAPUA BARAT,Kaimana,1716123,3.23,16.04,0
PAPUA BARAT,Teluk Wondama,990094,2.9,31.61,2
PAPUA BARAT,Teluk Bintuni,25061823,4.74,29.79,2
PAPUA BARAT,Manokwari,6593321,7.04,20.56,0
PAPUA BARAT,Sorong Selatan,1300536,3.55,18.55,0
PAPUA BARAT,Sorong,8520874,3.36,27.78,2
PAPUA BARAT,Raja Ampat,2590412,3.81,17.5,0
PAPUA BARAT,Tambrauw,147485,1.49,33.86,2
PAPUA BARAT,Maybrat,467690,1.89,31.39,2
PAPUA BARAT,Manokwari Selatan,586829,2.9,29.3,2
PAPUA BARAT,Pegunungan Arfak,157525,0.7,34.7,2
PAPUA BARAT,Kota Sorong,9986993,9.95,15.35,0
PAPUA,Merauke,10424592,2.19,10.16,0
PAPUA,Jayawijaya,4659979,1.62,37.09,2
PAPUA,Jayapura,10271631,7.87,12.13,0
PAPUA,Nabire,7693272,3.05,23.83,2
PAPUA,Kepulauan Yapen,2901321,2.47,26.09,2
PAPUA,Biak Numfor,3327269,9.49,24.45,2
PAPUA,Paniai,3084841,0.74,36.59,2
PAPUA,Puncak Jaya,983029,1.74,36.0,2
PAPUA,Mimika,69619313,5.37,14.17,0
PAPUA,Boven Digoel,3223281,6.73,19.9,0
PAPUA,Mappi,1883775,4.11,26.05,2
PAPUA,Asmat,1563594,0.45,24.83,2
PAPUA,Yahukimo,1556231,2.25,37.64,2
PAPUA,Pegunungan Bintang,1444833,4.43,30.46,2
PAPUA,Tolikara,1068562,1.12,32.6,2
PAPUA,Sarmi,1862596,3.5,13.84,0
PAPUA,Keerom,2048897,1.41,16.0,0
PAPUA,Waropen,1485621,8.56,29.85,2
PAPUA,Supiori,781180,2.66,37.91,2
PAPUA,Mamberamo Raya,1030714,1.91,28.78,2
PAPUA,Nduga *,815251,0.0,37.18,2
PAPUA,Lanny Jaya,1202144,0.0,38.73,2
PAPUA,Mamberamo Tengah,769368,0.9,36.76,2
PAPUA,Yalimo,782619,0.41,33.25,2
PAPUA,Puncak,831070,0.94,36.26,2
PAPUA,Dogiyai,906904,5.68,28.81,2
PAPUA,Intan Jaya,767101,1.43,41.66,2
PAPUA,Deiyai,841296,0.79,40.59,2
PAPUA,Kota Jayapura,22852202,11.67,11.39,0
