Klaster,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen)
0,19379520.110588234,9.755694117647058
1,340226014.75,4.8925
2,4091748.901234568,26.210987654320988
