Klaster,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen)
0,35123076.61666667,8.746916666666667,8.732333333333335
1,12631325.033333333,4.0406969696969695,10.87921212121212
2,340226014.75,9.18,4.8925
3,3296808.089285714,2.572857142857143,29.129285714285714
