Provinsi,Kab/Kota,Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
PAPUA BARAT,Teluk Bintuni,4.74,29.79,1
PAPUA BARAT,Manokwari,7.04,20.56,2
PAPUA BARAT,Sorong Selatan,3.55,18.55,0
PAPUA BARAT,Sorong,3.36,27.78,1
PAPUA BARAT,Raja Ampat,3.81,17.5,0
PAPUA BARAT,Tambrauw,1.49,33.86,1
PAPUA BARAT,Maybrat,1.89,31.39,1
PAPUA BARAT,Manokwari Selatan,2.9,29.3,1
PAPUA BARAT,Pegunungan Arfak,0.7,34.7,1
PAPUA BARAT,Kota Sorong,9.95,15.35,2
PAPUA,Merauke,2.19,10.16,0
PAPUA,Jayawijaya,1.62,37.09,1
PAPUA,Jayapura,7.87,12.13,2
PAPUA,Nabire,3.05,23.83,1
PAPUA,Kepulauan Yapen,2.47,26.09,1
PAPUA,Biak Numfor,9.49,24.45,2
PAPUA,Paniai,0.74,36.59,1
PAPUA,Puncak Jaya,1.74,36.0,1
PAPUA,Mimika,5.37,14.17,0
PAPUA,Boven Digoel,6.73,19.9,0
PAPUA,Mappi,4.11,26.05,1
PAPUA,Asmat,0.45,24.83,1
PAPUA,Yahukimo,2.25,37.64,1
PAPUA,Pegunungan Bintang,4.43,30.46,1
PAPUA,Tolikara,1.12,32.6,1
PAPUA,Sarmi,3.5,13.84,0
PAPUA,Keerom,1.41,16.0,0
PAPUA,Waropen,8.56,29.85,1
PAPUA,Supiori,2.66,37.91,1
PAPUA,Mamberamo Raya,1.91,28.78,1
PAPUA,Nduga *,0.0,37.18,1
PAPUA,Lanny Jaya,0.0,38.73,1
PAPUA,Mamberamo Tengah,0.9,36.76,1
PAPUA,Yalimo,0.41,33.25,1
PAPUA,Puncak,0.94,36.26,1
PAPUA,Dogiyai,5.68,28.81,1
PAPUA,Intan Jaya,1.43,41.66,1
PAPUA,Deiyai,0.79,40.59,1
PAPUA,Kota Jayapura,11.67,11.39,2
