Provinsi,Kab/Kota,Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Klaster
SUMATERA SELATAN,Kota Pagar Alam,1.64,9.4,0
SUMATERA SELATAN,Kota Lubuklinggau,6.27,13.23,0
BENGKULU,Bengkulu Selatan,2.55,18.16,0
BENGKULU,Rejang Lebong,2.45,15.85,0
BENGKULU,Bengkulu Utara,3.51,11.61,0
BENGKULU,Kaur,3.45,18.62,0
BENGKULU,Seluma,3.44,18.72,0
BENGKULU,Mukomuko,3.68,11.93,0
BENGKULU,Lebong,3.18,12.0,0
BENGKULU,Kepahiang,1.89,14.83,0
BENGKULU,Bengkulu Tengah,4.07,9.68,0
BENGKULU,Kota Bengkulu,6.35,17.89,0
LAMPUNG,Lampung Barat,2.83,12.82,0
LAMPUNG,Tanggamus,2.93,11.81,0
LAMPUNG,Lampung Selatan,5.27,14.19,0
LAMPUNG,Lampung Timur,3.05,15.08,0
LAMPUNG,Lampung Tengah,4.31,11.99,0
LAMPUNG,Lampung Utara,6.14,19.63,0
LAMPUNG,Way Kanan,3.36,13.09,0
LAMPUNG,Tulangbawang,4.1,9.67,0
LAMPUNG,Pesawaran,4.19,15.11,0
LAMPUNG,Pringsewu,4.85,10.11,0
LAMPUNG,Mesuji,3.42,7.54,0
LAMPUNG,Tulang Bawang Barat,3.35,8.32,0
LAMPUNG,Pesisir Barat,3.08,14.81,0
LAMPUNG,Kota Bandar Lampung,8.85,9.11,2
LAMPUNG,Kota Metro,5.0,8.93,0
KEP. BANGKA BELITUNG,Bangka,5.97,4.81,0
KEP. BANGKA BELITUNG,Belitung,3.51,7.15,0
KEP. BANGKA BELITUNG,Bangka Barat,3.83,2.75,0
KEP. BANGKA BELITUNG,Bangka Tengah,4.95,5.13,0
KEP. BANGKA BELITUNG,Bangka Selatan,5.29,3.69,0
KEP. BANGKA BELITUNG,Belitung Timur,3.78,7.2,0
KEP. BANGKA BELITUNG,Kota Pangkal Pinang,6.81,4.76,2
KEPULAUAN RIAU,Karimun,7.2,6.85,2
KEPULAUAN RIAU,Bintan,8.62,6.42,2
KEPULAUAN RIAU,Natuna,5.15,4.95,0
KEPULAUAN RIAU,Lingga,4.23,13.93,0
KEPULAUAN RIAU,Kepulauan Anambas,1.27,7.09,0
KEPULAUAN RIAU,Kota Batam,11.64,5.05,2
KEPULAUAN RIAU,Kota Tanjung Pinang,6.31,9.57,0
DKI JAKARTA,Kepulauan Seribu,8.58,15.06,2
DKI JAKARTA,Kota Jakarta Selatan,7.33,3.56,2
DKI JAKARTA,Kota Jakarta Timur,8.23,4.28,2
DKI JAKARTA,Kota Jakarta Pusat,7.75,4.94,2
DKI JAKARTA,Kota Jakarta Barat,9.06,4.31,2
DKI JAKARTA,Kota Jakarta Utara,9.84,7.24,2
JAWA BARAT,Bogor,12.22,8.13,2
JAWA BARAT,Sukabumi,9.51,7.7,2
JAWA BARAT,Cianjur,9.32,11.18,2
JAWA BARAT,Bandung,8.32,7.15,2
JAWA BARAT,Garut,8.68,10.65,2
JAWA BARAT,Tasikmalaya,6.16,11.15,0
JAWA BARAT,Ciamis,5.06,7.97,0
JAWA BARAT,Kuningan,11.68,13.1,2
JAWA BARAT,Cirebon,10.38,12.3,2
JAWA BARAT,Majalengka,5.71,12.33,0
JAWA BARAT,Sumedang,9.18,10.71,2
JAWA BARAT,Indramayu,8.3,13.04,2
JAWA BARAT,Subang,9.77,10.03,2
JAWA BARAT,Purwakarta,10.7,8.83,2
JAWA BARAT,Karawang,11.83,8.95,2
JAWA BARAT,Bekasi,10.09,5.21,2
JAWA BARAT,Bandung Barat,11.65,11.3,2
JAWA BARAT,Pangandaran,3.25,9.65,0
JAWA BARAT,Kota Bogor,11.79,7.24,2
JAWA BARAT,Kota Sukabumi,10.78,8.25,2
JAWA BARAT,Kota Bandung,11.46,4.37,2
JAWA BARAT,Kota Cirebon,10.53,10.03,2
JAWA BARAT,Kota Bekasi,10.88,4.74,2
JAWA BARAT,Kota Depok,9.76,2.58,2
JAWA BARAT,Kota Cimahi,13.07,5.35,2
JAWA BARAT,Kota Tasikmalaya,7.66,13.13,2
JAWA BARAT,Kota Banjar,6.09,7.11,0
JAWA TENGAH,Cilacap,9.97,11.67,2
JAWA TENGAH,Banyumas,6.05,13.66,0
JAWA TENGAH,Purbalingga,6.05,16.24,0
JAWA TENGAH,Banjarnegara,5.86,16.23,0
JAWA TENGAH,Kebumen,6.03,17.83,0
JAWA TENGAH,Purworejo,3.59,12.4,0
JAWA TENGAH,Wonosobo,5.26,17.67,0
JAWA TENGAH,Magelang,5.03,11.91,0
JAWA TENGAH,Boyolali,5.09,10.62,0
JAWA TENGAH,Klaten,5.48,13.49,0
JAWA TENGAH,Sukoharjo,3.32,8.23,0
JAWA TENGAH,Wonogiri,2.43,11.55,0
JAWA TENGAH,Karanganyar,5.89,10.68,0
JAWA TENGAH,Sragen,4.76,13.83,0
JAWA TENGAH,Grobogan,4.38,12.74,0
JAWA TENGAH,Blora,3.81,12.39,0
JAWA TENGAH,Rembang,3.67,15.8,0
JAWA TENGAH,Pati,4.6,10.21,0
JAWA TENGAH,Kudus,3.77,7.6,0
JAWA TENGAH,Jepara,4.23,7.44,0
JAWA TENGAH,Demak,5.28,12.92,0
JAWA TENGAH,Semarang,5.02,7.82,0
JAWA TENGAH,Temanggung,2.62,10.17,0
JAWA TENGAH,Kendal,7.55,10.24,2
JAWA TENGAH,Batang,6.59,9.68,2
JAWA TENGAH,Pekalongan,4.28,10.57,0
JAWA TENGAH,Pemalang,6.71,16.56,0
JAWA TENGAH,Tegal,9.97,8.6,2
JAWA TENGAH,Brebes,9.78,17.43,2
