Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Klaster
KALIMANTAN TIMUR,Mahakam Hulu,1786101,3.14,11.9,91.67,0
KALIMANTAN TIMUR,Kota Balikpapan,86796991,8.94,2.89,93.25,2
KALIMANTAN TIMUR,Kota Samarinda,46282119,8.16,4.99,97.17,2
KALIMANTAN TIMUR,Kota Bontang,39949434,9.92,4.62,93.95,2
KALIMANTAN UTARA,Malinau,8190168,4.14,7.3,67.88,0
KALIMANTAN UTARA,Bulungan,12014801,4.54,10.03,93.04,0
KALIMANTAN UTARA,Tana Tidung,3818805,5.26,5.15,83.29,0
KALIMANTAN UTARA,Nunukan,16353329,4.24,6.79,78.49,0
KALIMANTAN UTARA,Kota Tarakan,22965209,4.94,6.71,77.58,0
SULAWESI UTARA,Bolaang Mongondow,5726207,4.85,7.58,73.7,0
SULAWESI UTARA,Minahasa,12095806,6.14,7.67,88.32,0
SULAWESI UTARA,Kepulauan Sangihe,3204803,4.72,11.02,84.73,0
SULAWESI UTARA,Kepulauan Talaud,1665598,2.3,9.0,86.83,0
SULAWESI UTARA,Minahasa Selatan,6371366,4.9,9.37,87.66,0
SULAWESI UTARA,Minahasa Utara,9884318,8.12,7.11,90.75,0
SULAWESI UTARA,Bolaang Mongondow Utara,1749563,5.23,8.03,73.45,0
SULAWESI UTARA,Siau Tagulandang Biaro,1681881,3.39,8.94,93.94,0
SULAWESI UTARA,Minahasa Tenggara,3769488,3.39,12.47,87.91,0
SULAWESI UTARA,Bolaang Mongondow Selatan,1386962,4.6,12.85,70.18,0
SULAWESI UTARA,Bolaang Mongondow Timur,1938799,5.99,6.1,62.93,0
SULAWESI UTARA,Kota Manado,26056517,12.17,6.19,87.76,2
SULAWESI UTARA,Kota Bitung,11846006,9.96,6.43,89.35,2
SULAWESI UTARA,Kota Tomohon,3215178,8.84,5.69,96.42,2
SULAWESI UTARA,Kota Kotamobagu,2497919,7.32,5.74,71.57,0
SULAWESI TENGAH,Banggai Kepulauan,2735237,2.95,13.72,75.35,0
SULAWESI TENGAH,Banggai,18864238,3.57,7.83,82.46,0
SULAWESI TENGAH,Morowali,54916245,5.08,13.75,78.34,0
SULAWESI TENGAH,Poso,6523785,2.47,15.92,88.09,0
SULAWESI TENGAH,Donggala,8544440,3.5,16.73,64.9,0
SULAWESI TENGAH,Toli-Toli,5776241,3.13,13.51,68.09,0
SULAWESI TENGAH,Buol,4029741,3.64,14.06,70.2,0
SULAWESI TENGAH,Parigi Moutong,11621816,2.97,15.28,63.98,0
SULAWESI TENGAH,Tojo Una-Una,3878590,3.44,16.6,71.1,0
SULAWESI TENGAH,Sigi,6426753,2.38,13.05,78.31,0
SULAWESI TENGAH,Banggai Laut,1678039,3.35,14.17,61.77,0
SULAWESI TENGAH,Morowali Utara,8916699,2.98,13.9,79.88,0
SULAWESI TENGAH,Kota Palu,16385580,7.61,7.17,91.74,0
SULAWESI SELATAN,Kepulauan Selayar,3765558,2.81,12.45,75.57,0
SULAWESI SELATAN,Bulukumba,9013584,3.14,7.43,92.08,0
SULAWESI SELATAN,Bantaeng,6151447,4.07,9.41,77.8,0
SULAWESI SELATAN,Jeneponto,7058350,2.38,14.28,81.48,0
SULAWESI SELATAN,Takalar,6908048,3.93,8.25,90.15,0
SULAWESI SELATAN,Gowa,15043696,4.3,7.54,97.2,0
SULAWESI SELATAN,Sinjai,7576835,2.61,8.84,87.13,0
SULAWESI SELATAN,Maros,12400617,6.3,9.57,87.74,0
SULAWESI SELATAN,Pangkajene Dan Kepulauan,17500610,5.86,14.28,86.35,0
SULAWESI SELATAN,Barru,5069995,6.74,8.68,93.92,0
SULAWESI SELATAN,Bone,23273868,4.15,10.52,94.28,0
SULAWESI SELATAN,Soppeng,7585976,3.92,7.53,92.39,0
SULAWESI SELATAN,Wajo,13569283,4.32,6.46,95.03,0
SULAWESI SELATAN,Sidenreng Rappang,8866074,4.93,5.04,98.52,0
SULAWESI SELATAN,Pinrang,13472493,4.06,8.81,94.72,0
SULAWESI SELATAN,Enrekang,4884373,2.34,12.47,89.11,0
SULAWESI SELATAN,Luwu,10449750,4.8,12.53,88.55,0
SULAWESI SELATAN,Tana Toraja,4780984,3.09,12.27,83.75,0
SULAWESI SELATAN,Luwu Utara,8491499,3.91,13.59,93.72,0
SULAWESI SELATAN,Luwu Timur,16030502,4.96,6.94,92.85,0
SULAWESI SELATAN,Toraja Utara,5357129,2.61,11.99,87.62,0
SULAWESI SELATAN,Kota Makassar,126312828,13.18,4.82,93.75,2
SULAWESI SELATAN,Kota Parepare,5161916,6.72,5.4,98.21,0
SULAWESI SELATAN,Kota Palopo,5768275,8.83,8.14,92.09,2
SULAWESI TENGGARA,Buton,2847090,4.74,13.92,79.37,0
SULAWESI TENGGARA,Muna,5229546,4.97,13.54,79.85,0
SULAWESI TENGGARA,Konawe,7826408,4.56,13.03,89.72,0
SULAWESI TENGGARA,Kolaka,18999351,3.62,12.43,87.35,0
SULAWESI TENGGARA,Konawe Selatan,8655572,2.14,11.34,76.75,0
SULAWESI TENGGARA,Bombana,4873717,3.17,10.76,82.5,0
SULAWESI TENGGARA,Wakatobi,3220931,2.3,14.91,84.99,0
SULAWESI TENGGARA,Kolaka Utara,6525446,3.18,13.79,86.18,0
SULAWESI TENGGARA,Buton Utara,2342595,3.0,14.89,69.43,0
SULAWESI TENGGARA,Konawe Utara,2957837,3.36,14.32,76.58,0
SULAWESI TENGGARA,Kolaka Timur,3413957,3.44,14.35,88.41,0
SULAWESI TENGGARA,Konawe Kepulauan,1071100,1.83,17.81,78.38,0
SULAWESI TENGGARA,Muna Barat,1926498,2.84,13.96,73.03,0
SULAWESI TENGGARA,Buton Tengah,1760036,3.77,15.8,86.51,0
SULAWESI TENGGARA,Buton Selatan,2080195,3.92,14.62,87.22,0
SULAWESI TENGGARA,Kota Kendari,17165185,5.19,4.87,96.57,0
SULAWESI TENGGARA,Kota Baubau,6844689,6.87,7.78,96.68,0
GORONTALO,Boalemo,3567638,3.57,19.0,68.82,0
GORONTALO,Gorontalo,9082312,2.12,17.89,76.82,0
GORONTALO,Pohuwato,4703613,2.45,18.08,76.12,0
GORONTALO,Bone Bolango,3224680,3.45,16.3,73.71,0
GORONTALO,Gorontalo Utara,2376146,2.3,17.23,79.03,0
GORONTALO,Kota Gorontalo,6345632,4.55,5.93,92.9,0
SULAWESI BARAT,Majene,3598959,2.85,14.34,79.74,0
SULAWESI BARAT,Polewali Mandar,9414992,3.38,15.68,86.31,0
SULAWESI BARAT,Mamasa,2255608,2.18,13.77,63.08,0
SULAWESI BARAT,Mamuju,8342016,3.79,7.46,80.47,0
SULAWESI BARAT,Mamuju Utara,7389296,3.13,4.77,79.18,0
SULAWESI BARAT,Mamuju Tengah,2282748,2.52,7.13,81.76,0
MALUKU,Maluku Tenggara Barat,1749807,4.4,27.27,84.88,0
MALUKU,Maluku Tenggara,2034006,5.06,22.73,86.47,0
MALUKU,Maluku Tengah,6028166,8.07,19.84,74.24,0
MALUKU,Buru,1611262,4.85,17.28,69.35,0
MALUKU,Kepulauan Aru,2356727,1.55,26.53,39.66,1
MALUKU,Seram Bagian Barat,2030114,5.65,25.27,62.64,1
MALUKU,Seram Bagian Timur,1966542,3.88,23.25,65.25,1
MALUKU,Maluku Barat Daya,1091807,1.8,29.55,82.65,1
MALUKU,Buru Selatan,923245,1.63,15.89,58.54,0
MALUKU,Kota Ambon,10591813,11.32,5.02,90.56,2
MALUKU,Kota Tual,1550124,8.71,23.26,83.27,0
MALUKU UTARA,Halmahera Barat,1554088,3.26,8.95,73.32,0
MALUKU UTARA,Halmahera Tengah,5225848,4.23,13.52,80.7,0
MALUKU UTARA,Kepulauan Sula,1663354,2.78,8.23,81.31,0
MALUKU UTARA,Halmahera Selatan,6532022,1.94,5.19,57.97,0
MALUKU UTARA,Halmahera Utara,3870036,8.01,5.22,68.98,0
MALUKU UTARA,Halmahera Timur,2491395,6.78,15.04,70.1,0
MALUKU UTARA,Pulau Morotai,1083770,6.27,6.52,71.5,0
MALUKU UTARA,Pulau Taliabu,1128880,6.1,7.49,65.37,0
MALUKU UTARA,Kota Ternate,7394964,5.7,3.55,99.22,0
MALUKU UTARA,Kota Tidore Kepulauan,2062850,2.81,6.58,90.55,0
PAPUA BARAT,Fakfak,3474011,7.9,22.86,65.86,0
PAPUA BARAT,Kaimana,1716123,3.23,16.04,74.57,0
PAPUA BARAT,Teluk Wondama,990094,2.9,31.61,61.1,1
PAPUA BARAT,Teluk Bintuni,25061823,4.74,29.79,77.45,1
PAPUA BARAT,Manokwari,6593321,7.04,20.56,86.9,0
PAPUA BARAT,Sorong Selatan,1300536,3.55,18.55,41.0,1
PAPUA BARAT,Sorong,8520874,3.36,27.78,84.26,0
PAPUA BARAT,Raja Ampat,2590412,3.81,17.5,55.11,0
PAPUA BARAT,Tambrauw,147485,1.49,33.86,69.75,1
PAPUA BARAT,Maybrat,467690,1.89,31.39,70.49,1
PAPUA BARAT,Manokwari Selatan,586829,2.9,29.3,91.54,0
PAPUA BARAT,Pegunungan Arfak,157525,0.7,34.7,45.21,1
PAPUA BARAT,Kota Sorong,9986993,9.95,15.35,90.73,2
PAPUA,Merauke,10424592,2.19,10.16,82.1,0
PAPUA,Jayawijaya,4659979,1.62,37.09,23.7,1
PAPUA,Jayapura,10271631,7.87,12.13,71.24,0
PAPUA,Nabire,7693272,3.05,23.83,85.73,0
PAPUA,Kepulauan Yapen,2901321,2.47,26.09,68.36,1
PAPUA,Biak Numfor,3327269,9.49,24.45,83.32,0
PAPUA,Paniai,3084841,0.74,36.59,0.26,1
PAPUA,Puncak Jaya,983029,1.74,36.0,15.79,1
PAPUA,Mimika,69619313,5.37,14.17,83.63,0
PAPUA,Boven Digoel,3223281,6.73,19.9,61.71,0
PAPUA,Mappi,1883775,4.11,26.05,35.29,1
PAPUA,Asmat,1563594,0.45,24.83,31.34,1
PAPUA,Yahukimo,1556231,2.25,37.64,13.09,1
PAPUA,Pegunungan Bintang,1444833,4.43,30.46,31.28,1
PAPUA,Tolikara,1068562,1.12,32.6,3.24,1
PAPUA,Sarmi,1862596,3.5,13.84,68.36,0
PAPUA,Keerom,2048897,1.41,16.0,60.58,0
PAPUA,Waropen,1485621,8.56,29.85,84.68,0
PAPUA,Supiori,781180,2.66,37.91,80.32,1
PAPUA,Mamberamo Raya,1030714,1.91,28.78,65.19,1
PAPUA,Nduga *,815251,0.0,37.18,4.35,1
PAPUA,Lanny Jaya,1202144,0.0,38.73,2.51,1
PAPUA,Mamberamo Tengah,769368,0.9,36.76,2.54,1
PAPUA,Yalimo,782619,0.41,33.25,0.48,1
PAPUA,Puncak,831070,0.94,36.26,11.43,1
PAPUA,Dogiyai,906904,5.68,28.81,12.11,1
PAPUA,Intan Jaya,767101,1.43,41.66,0.36,1
PAPUA,Deiyai,841296,0.79,40.59,0.0,1
PAPUA,Kota Jayapura,22852202,11.67,11.39,85.31,2
