Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Klaster
RIAU,Kota Dumai,26068578,6.29,3.42,97.03,0
JAMBI,Kerinci,6844238,2.32,7.71,66.32,0
JAMBI,Merangin,10371678,4.83,9.11,71.07,0
JAMBI,Sarolangun,11397733,5.52,8.87,76.03,0
JAMBI,Batang Hari,12221193,4.26,10.05,79.68,0
JAMBI,Muaro Jambi,16847013,5.59,4.53,89.17,0
JAMBI,Tanjung Jabung Timur,17284926,1.56,11.39,70.27,0
JAMBI,Tanjung Jabung Barat,30976199,2.53,10.75,81.89,0
JAMBI,Tebo,10597493,2.83,6.68,83.38,0
JAMBI,Bungo,13133523,5.86,6.23,77.58,0
JAMBI,Kota Jambi,19515486,10.66,9.02,93.22,2
JAMBI,Kota Sungai Penuh,4768840,3.0,3.41,74.04,0
SUMATERA SELATAN,Ogan Komering Ulu,10114558,4.57,12.62,82.72,0
SUMATERA SELATAN,Ogan Komering Ilir,20909479,3.01,14.68,68.09,0
SUMATERA SELATAN,Muara Enim,43987266,5.03,12.32,84.35,0
SUMATERA SELATAN,Lahat,13002365,3.6,16.46,70.44,0
SUMATERA SELATAN,Musi Rawas,14032621,2.78,13.89,69.22,0
SUMATERA SELATAN,Musi Banyuasin,46128391,3.99,15.84,71.07,0
SUMATERA SELATAN,Banyu Asin,20767642,3.84,10.75,72.2,0
SUMATERA SELATAN,Ogan Komering Ulu Selatan,5985137,3.23,11.12,56.2,0
SUMATERA SELATAN,Ogan Komering Ulu Timur,10551001,3.18,10.6,83.86,0
SUMATERA SELATAN,Ogan Ilir,7775123,3.07,13.82,67.92,0
SUMATERA SELATAN,Empat Lawang,3605939,2.41,13.35,51.7,0
SUMATERA SELATAN,Penukal Abab Lematang Ilir,4819885,3.61,12.91,94.31,0
SUMATERA SELATAN,Musi Rawas Utara,5706543,6.72,20.11,65.9,0
SUMATERA SELATAN,Kota Palembang,107250192,10.11,11.34,94.21,2
SUMATERA SELATAN,Kota Prabumulih,5541968,5.86,12.2,95.33,0
SUMATERA SELATAN,Kota Pagar Alam,2332447,1.64,9.4,58.66,0
SUMATERA SELATAN,Kota Lubuklinggau,4470232,6.27,13.23,85.5,0
BENGKULU,Bengkulu Selatan,3742506,2.55,18.16,74.74,0
BENGKULU,Rejang Lebong,6274229,2.45,15.85,71.5,0
BENGKULU,Bengkulu Utara,5425357,3.51,11.61,81.36,0
