Provinsi,Kab/Kota,Prob_Klaster_0,Prob_Klaster_1,Prob_Klaster_2,Klaster
SUMATERA UTARA,Simalungun,2.3632937684463526e-80,0.9357135185015085,0.06428648149849144,1
SUMATERA UTARA,Dairi,0.1000562481605582,0.8971740657595149,0.0027696860799270944,1
SUMATERA UTARA,Karo,5.758149412022575e-16,0.9954123923719372,0.004587607628062109,1
SUMATERA UTARA,Deli Serdang,0.0,3.8042413306864993e-10,0.9999999996195763,2
SUMATERA UTARA,Langkat,1.9331186415058822e-91,0.9018892097665482,0.09811079023345161,1
SUMATERA UTARA,Nias Selatan,0.8777559180210529,0.12190560320956868,0.0003384787693783518,0
SUMATERA UTARA,Humbang Hasundutan,0.628549030635848,0.36947733612485884,0.0019736332392932417,0
SUMATERA UTARA,Pakpak Bharat,0.16490731809584339,0.8301857819881762,0.0049068999159804835,1
SUMATERA UTARA,Samosir,0.7131779109847598,0.2853095909982223,0.0015124980170178174,0
SUMATERA UTARA,Serdang Bedagai,1.2188830616415336e-33,0.9887321780658499,0.01126782193415017,1
SUMATERA UTARA,Batu Bara,9.081048781292334e-57,0.9736707859167698,0.026329214083230173,1
SUMATERA UTARA,Padang Lawas Utara,0.0014644132849450909,0.9922448523131477,0.00629073440190724,1
SUMATERA UTARA,Padang Lawas,0.0048557813261082446,0.9871198875226754,0.008024331151216415,1
SUMATERA UTARA,Labuhan Batu Selatan,1.7096020937521644e-32,0.9861347851850863,0.013865214814913583,1
SUMATERA UTARA,Labuhan Batu Utara,2.2145836606935383e-26,0.9831668697038746,0.01683313029612545,1
SUMATERA UTARA,Nias Utara,0.9991374037246323,0.0008625921504936584,4.124873967172104e-09,0
SUMATERA UTARA,Nias Barat,0.9994617992220123,0.0005381981526882045,2.625299460798567e-09,0
SUMATERA UTARA,Kota Sibolga,0.7125606204798193,0.2401175341347581,0.04732184538542264,0
SUMATERA UTARA,Kota Tanjung Balai,0.43608939151654924,0.5513559985712039,0.012554609912247041,1
SUMATERA UTARA,Kota Pematang Siantar,0.0001761042713585239,0.47429375850683286,0.5255301372218087,2
SUMATERA UTARA,Kota Tebing Tinggi,0.674593888979578,0.26737608364088566,0.058030027379536185,0
SUMATERA UTARA,Kota Medan,0.0,2.7776318608448003e-65,1.0,2
SUMATERA UTARA,Kota Binjai,0.03342446448425929,0.9059235177943757,0.060652017721364936,1
SUMATERA UTARA,Kota Padangsidimpuan,0.7049594142896243,0.27251073838638906,0.022529847323986583,0
SUMATERA UTARA,Kota Gunungsitoli,0.9125543470310381,0.08701858184350775,0.0004270711254541033,0
SUMATERA BARAT,Kepulauan Mentawai,0.861332744349847,0.1378917260489884,0.0007755296011645742,0
SUMATERA BARAT,Pesisir Selatan,0.00012175927716598417,0.9812226952142389,0.01865554550859507,1
SUMATERA BARAT,Solok,2.536099808814646e-05,0.9908895748149207,0.009085064186991166,1
SUMATERA BARAT,Sijunjung,0.14659855418517095,0.8493641624240962,0.004037283390732895,1
SUMATERA BARAT,Tanah Datar,0.00023942083996319176,0.9962056785531331,0.003554900606903724,1
SUMATERA BARAT,Padang Pariaman,1.413221851716994e-08,0.9211003848838069,0.07889960098397471,1
SUMATERA BARAT,Agam,1.2116430829819036e-15,0.9908783985127285,0.009121601487270394,1
SUMATERA BARAT,Lima Puluh Kota,5.696283780003542e-08,0.9970566740621213,0.0029432689750407853,1
SUMATERA BARAT,Pasaman,0.32823600812246184,0.663502662409043,0.00826132946849517,1
SUMATERA BARAT,Solok Selatan,0.7146504316213845,0.2809985955478578,0.004350972830757626,0
SUMATERA BARAT,Dharmasraya,0.04768722324083941,0.9430532223747836,0.00925955438437693,1
SUMATERA BARAT,Pasaman Barat,5.4558193220942804e-08,0.9903175783263045,0.009682367115502178,1
SUMATERA BARAT,Kota Padang,9.148863581044536e-215,0.0020867432321309437,0.9979132567678695,2
