Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Indeks Pembangunan Manusia,Klaster
KALIMANTAN UTARA,Bulungan,12014801,4.54,10.03,71.8,0
KALIMANTAN UTARA,Tana Tidung,3818805,5.26,5.15,67.76,0
KALIMANTAN UTARA,Nunukan,16353329,4.24,6.79,66.46,0
KALIMANTAN UTARA,Kota Tarakan,22965209,4.94,6.71,76.23,0
SULAWESI UTARA,Bolaang Mongondow,5726207,4.85,7.58,68.16,0
SULAWESI UTARA,Minahasa,12095806,6.14,7.67,75.73,0
SULAWESI UTARA,Kepulauan Sangihe,3204803,4.72,11.02,71.07,0
SULAWESI UTARA,Kepulauan Talaud,1665598,2.3,9.0,69.83,0
SULAWESI UTARA,Minahasa Selatan,6371366,4.9,9.37,72.32,0
SULAWESI UTARA,Minahasa Utara,9884318,8.12,7.11,74.11,1
SULAWESI UTARA,Bolaang Mongondow Utara,1749563,5.23,8.03,67.39,0
SULAWESI UTARA,Siau Tagulandang Biaro,1681881,3.39,8.94,68.05,0
SULAWESI UTARA,Minahasa Tenggara,3769488,3.39,12.47,71.06,0
SULAWESI UTARA,Bolaang Mongondow Selatan,1386962,4.6,12.85,65.42,0
SULAWESI UTARA,Bolaang Mongondow Timur,1938799,5.99,6.1,66.55,0
SULAWESI UTARA,Kota Manado,26056517,12.17,6.19,79.2,1
SULAWESI UTARA,Kota Bitung,11846006,9.96,6.43,74.2,1
SULAWESI UTARA,Kota Tomohon,3215178,8.84,5.69,76.86,1
SULAWESI UTARA,Kota Kotamobagu,2497919,7.32,5.74,73.47,1
SULAWESI TENGAH,Banggai Kepulauan,2735237,2.95,13.72,65.61,0
SULAWESI TENGAH,Banggai,18864238,3.57,7.83,70.6,0
SULAWESI TENGAH,Morowali,54916245,5.08,13.75,72.29,0
SULAWESI TENGAH,Poso,6523785,2.47,15.92,71.45,0
SULAWESI TENGAH,Donggala,8544440,3.5,16.73,65.72,0
SULAWESI TENGAH,Toli-Toli,5776241,3.13,13.51,66.3,0
SULAWESI TENGAH,Buol,4029741,3.64,14.06,68.25,0
SULAWESI TENGAH,Parigi Moutong,11621816,2.97,15.28,65.82,0
SULAWESI TENGAH,Tojo Una-Una,3878590,3.44,16.6,64.74,0
SULAWESI TENGAH,Sigi,6426753,2.38,13.05,68.49,0
SULAWESI TENGAH,Banggai Laut,1678039,3.35,14.17,65.65,0
SULAWESI TENGAH,Morowali Utara,8916699,2.98,13.9,68.48,0
SULAWESI TENGAH,Kota Palu,16385580,7.61,7.17,81.7,1
SULAWESI SELATAN,Kepulauan Selayar,3765558,2.81,12.45,67.76,0
SULAWESI SELATAN,Bulukumba,9013584,3.14,7.43,69.62,0
SULAWESI SELATAN,Bantaeng,6151447,4.07,9.41,68.99,0
SULAWESI SELATAN,Jeneponto,7058350,2.38,14.28,64.56,0
SULAWESI SELATAN,Takalar,6908048,3.93,8.25,67.72,0
SULAWESI SELATAN,Gowa,15043696,4.3,7.54,70.29,0
SULAWESI SELATAN,Sinjai,7576835,2.61,8.84,67.75,0
SULAWESI SELATAN,Maros,12400617,6.3,9.57,70.41,0
SULAWESI SELATAN,Pangkajene Dan Kepulauan,17500610,5.86,14.28,69.21,0
SULAWESI SELATAN,Barru,5069995,6.74,8.68,71.13,0
SULAWESI SELATAN,Bone,23273868,4.15,10.52,66.4,0
SULAWESI SELATAN,Soppeng,7585976,3.92,7.53,68.99,0
SULAWESI SELATAN,Wajo,13569283,4.32,6.46,69.62,0
SULAWESI SELATAN,Sidenreng Rappang,8866074,4.93,5.04,71.54,0
SULAWESI SELATAN,Pinrang,13472493,4.06,8.81,71.45,0
SULAWESI SELATAN,Enrekang,4884373,2.34,12.47,72.91,0
SULAWESI SELATAN,Luwu,10449750,4.8,12.53,70.85,0
SULAWESI SELATAN,Tana Toraja,4780984,3.09,12.27,69.49,0
SULAWESI SELATAN,Luwu Utara,8491499,3.91,13.59,70.02,0
SULAWESI SELATAN,Luwu Timur,16030502,4.96,6.94,73.34,0
SULAWESI SELATAN,Toraja Utara,5357129,2.61,11.99,69.75,0
SULAWESI SELATAN,Kota Makassar,126312828,13.18,4.82,82.66,1
SULAWESI SELATAN,Kota Parepare,5161916,6.72,5.4,78.21,1
SULAWESI SELATAN,Kota Palopo,5768275,8.83,8.14,78.38,1
SULAWESI TENGGARA,Buton,2847090,4.74,13.92,66.32,0
SULAWESI TENGGARA,Muna,5229546,4.97,13.54,69.17,0
SULAWESI TENGGARA,Konawe,7826408,4.56,13.03,71.48,0
SULAWESI TENGGARA,Kolaka,18999351,3.62,12.43,73.56,0
SULAWESI TENGGARA,Konawe Selatan,8655572,2.14,11.34,68.58,0
SULAWESI TENGGARA,Bombana,4873717,3.17,10.76,66.25,0
SULAWESI TENGGARA,Wakatobi,3220931,2.3,14.91,69.87,0
SULAWESI TENGGARA,Kolaka Utara,6525446,3.18,13.79,69.5,0
SULAWESI TENGGARA,Buton Utara,2342595,3.0,14.89,68.08,0
SULAWESI TENGGARA,Konawe Utara,2957837,3.36,14.32,70.23,0
SULAWESI TENGGARA,Kolaka Timur,3413957,3.44,14.35,67.76,0
SULAWESI TENGGARA,Konawe Kepulauan,1071100,1.83,17.81,65.73,0
SULAWESI TENGGARA,Muna Barat,1926498,2.84,13.96,65.48,0
SULAWESI TENGGARA,Buton Tengah,1760036,3.77,15.8,64.55,0
SULAWESI TENGGARA,Buton Selatan,2080195,3.92,14.62,64.99,0
SULAWESI TENGGARA,Kota Kendari,17165185,5.19,4.87,84.15,1
SULAWESI TENGGARA,Kota Baubau,6844689,6.87,7.78,76.26,1
GORONTALO,Boalemo,3567638,3.57,19.0,66.42,0
GORONTALO,Gorontalo,9082312,2.12,17.89,67.34,0
GORONTALO,Pohuwato,4703613,2.45,18.08,65.8,0
GORONTALO,Bone Bolango,3224680,3.45,16.3,70.25,0
GORONTALO,Gorontalo Utara,2376146,2.3,17.23,65.21,0
GORONTALO,Kota Gorontalo,6345632,4.55,5.93,77.41,0
SULAWESI BARAT,Majene,3598959,2.85,14.34,67.29,0
SULAWESI BARAT,Polewali Mandar,9414992,3.38,15.68,64.23,0
SULAWESI BARAT,Mamasa,2255608,2.18,13.77,66.63,0
SULAWESI BARAT,Mamuju,8342016,3.79,7.46,68.32,0
SULAWESI BARAT,Mamuju Utara,7389296,3.13,4.77,68.03,0
SULAWESI BARAT,Mamuju Tengah,2282748,2.52,7.13,66.18,0
MALUKU,Maluku Tenggara Barat,1749807,4.4,27.27,62.97,2
MALUKU,Maluku Tenggara,2034006,5.06,22.73,66.33,0
MALUKU,Maluku Tengah,6028166,8.07,19.84,71.32,0
MALUKU,Buru,1611262,4.85,17.28,69.33,0
MALUKU,Kepulauan Aru,2356727,1.55,26.53,63.83,2
MALUKU,Seram Bagian Barat,2030114,5.65,25.27,65.83,2
MALUKU,Seram Bagian Timur,1966542,3.88,23.25,64.3,2
MALUKU,Maluku Barat Daya,1091807,1.8,29.55,62.37,2
MALUKU,Buru Selatan,923245,1.63,15.89,64.8,0
MALUKU,Kota Ambon,10591813,11.32,5.02,81.23,1
MALUKU,Kota Tual,1550124,8.71,23.26,68.16,0
MALUKU UTARA,Halmahera Barat,1554088,3.26,8.95,65.56,0
MALUKU UTARA,Halmahera Tengah,5225848,4.23,13.52,65.82,0
MALUKU UTARA,Kepulauan Sula,1663354,2.78,8.23,63.8,0
MALUKU UTARA,Halmahera Selatan,6532022,1.94,5.19,64.19,0
MALUKU UTARA,Halmahera Utara,3870036,8.01,5.22,67.82,0
MALUKU UTARA,Halmahera Timur,2491395,6.78,15.04,67.0,0
MALUKU UTARA,Pulau Morotai,1083770,6.27,6.52,62.9,0
MALUKU UTARA,Pulau Taliabu,1128880,6.1,7.49,60.73,0
MALUKU UTARA,Kota Ternate,7394964,5.7,3.55,80.14,1
MALUKU UTARA,Kota Tidore Kepulauan,2062850,2.81,6.58,70.99,0
PAPUA BARAT,Fakfak,3474011,7.9,22.86,68.52,0
PAPUA BARAT,Kaimana,1716123,3.23,16.04,65.31,0
PAPUA BARAT,Teluk Wondama,990094,2.9,31.61,60.33,2
PAPUA BARAT,Teluk Bintuni,25061823,4.74,29.79,64.65,2
PAPUA BARAT,Manokwari,6593321,7.04,20.56,72.02,0
PAPUA BARAT,Sorong Selatan,1300536,3.55,18.55,62.46,0
PAPUA BARAT,Sorong,8520874,3.36,27.78,65.77,2
PAPUA BARAT,Raja Ampat,2590412,3.81,17.5,63.92,0
PAPUA BARAT,Tambrauw,147485,1.49,33.86,53.71,2
PAPUA BARAT,Maybrat,467690,1.89,31.39,59.7,2
PAPUA BARAT,Manokwari Selatan,586829,2.9,29.3,59.85,2
PAPUA BARAT,Pegunungan Arfak,157525,0.7,34.7,56.13,2
PAPUA BARAT,Kota Sorong,9986993,9.95,15.35,78.49,1
PAPUA,Merauke,10424592,2.19,10.16,70.49,0
PAPUA,Jayawijaya,4659979,1.62,37.09,58.67,2
PAPUA,Jayapura,10271631,7.87,12.13,72.03,1
PAPUA,Nabire,7693272,3.05,23.83,69.15,0
PAPUA,Kepulauan Yapen,2901321,2.47,26.09,67.72,2
PAPUA,Biak Numfor,3327269,9.49,24.45,72.33,1
PAPUA,Paniai,3084841,0.74,36.59,56.7,2
PAPUA,Puncak Jaya,983029,1.74,36.0,48.99,2
PAPUA,Mimika,69619313,5.37,14.17,74.48,0
PAPUA,Boven Digoel,3223281,6.73,19.9,61.62,0
PAPUA,Mappi,1883775,4.11,26.05,58.7,2
PAPUA,Asmat,1563594,0.45,24.83,51.29,2
PAPUA,Yahukimo,1556231,2.25,37.64,49.48,2
PAPUA,Pegunungan Bintang,1444833,4.43,30.46,46.28,2
PAPUA,Tolikara,1068562,1.12,32.6,49.6,2
PAPUA,Sarmi,1862596,3.5,13.84,63.94,0
PAPUA,Keerom,2048897,1.41,16.0,66.49,0
PAPUA,Waropen,1485621,8.56,29.85,65.1,2
PAPUA,Supiori,781180,2.66,37.91,62.72,2
PAPUA,Mamberamo Raya,1030714,1.91,28.78,52.18,2
PAPUA,Nduga *,815251,0.0,37.18,32.84,2
PAPUA,Lanny Jaya,1202144,0.0,38.73,48.68,2
PAPUA,Mamberamo Tengah,769368,0.9,36.76,48.32,2
PAPUA,Yalimo,782619,0.41,33.25,49.01,2
PAPUA,Puncak,831070,0.94,36.26,43.17,2
PAPUA,Dogiyai,906904,5.68,28.81,55.0,2
PAPUA,Intan Jaya,767101,1.43,41.66,48.34,2
PAPUA,Deiyai,841296,0.79,40.59,49.96,2
PAPUA,Kota Jayapura,22852202,11.67,11.39,80.11,1
