Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Indeks Pembangunan Manusia,Klaster
SUMATERA UTARA,Simalungun,28648781,4.17,8.81,73.4,0
SUMATERA UTARA,Dairi,6641674,1.49,8.31,71.84,0
SUMATERA UTARA,Karo,14582333,1.95,8.79,74.83,0
SUMATERA UTARA,Deli Serdang,72173623,9.13,4.01,75.53,1
SUMATERA UTARA,Langkat,30247389,5.12,10.12,71.35,0
SUMATERA UTARA,Nias Selatan,4332626,3.91,16.92,62.35,0
SUMATERA UTARA,Humbang Hasundutan,4219138,1.94,9.65,69.41,0
SUMATERA UTARA,Pakpak Bharat,872403,1.36,9.35,67.94,0
SUMATERA UTARA,Samosir,3162101,0.7,12.68,70.83,0
SUMATERA UTARA,Serdang Bedagai,19863243,3.93,8.3,70.56,0
SUMATERA UTARA,Batu Bara,24486056,6.62,12.38,68.58,0
SUMATERA UTARA,Padang Lawas Utara,8593639,3.19,9.92,70.11,0
SUMATERA UTARA,Padang Lawas,8362135,4.07,8.69,68.64,0
SUMATERA UTARA,Labuhan Batu Selatan,19620408,4.71,8.53,71.69,0
SUMATERA UTARA,Labuhan Batu Utara,17969257,5.74,10.02,71.87,0
SUMATERA UTARA,Nias Utara,2417196,3.0,25.66,62.82,2
SUMATERA UTARA,Nias Barat,1285664,0.74,26.42,61.99,2
SUMATERA UTARA,Kota Sibolga,3595704,8.72,12.33,73.94,1
SUMATERA UTARA,Kota Tanjung Balai,5898808,6.59,13.4,68.94,0
SUMATERA UTARA,Kota Pematang Siantar,9547698,11.0,8.52,79.17,1
SUMATERA UTARA,Kota Tebing Tinggi,4024777,8.37,10.3,75.42,1
SUMATERA UTARA,Kota Medan,157689187,10.81,8.34,81.21,1
SUMATERA UTARA,Kota Binjai,8162776,7.86,5.81,76.01,1
SUMATERA UTARA,Kota Padangsidimpuan,4346777,7.18,7.53,75.48,1
SUMATERA UTARA,Kota Gunungsitoli,3519128,4.8,16.45,69.61,0
SUMATERA BARAT,Kepulauan Mentawai,3041549,2.79,14.84,61.35,0
SUMATERA BARAT,Pesisir Selatan,9790360,5.97,7.92,70.03,0
SUMATERA BARAT,Solok,10119822,4.67,8.01,69.24,0
SUMATERA BARAT,Sijunjung,6893214,3.57,6.8,67.86,0
SUMATERA BARAT,Tanah Datar,9891020,4.63,4.54,72.46,0
SUMATERA BARAT,Padang Pariaman,12199848,8.41,7.22,70.76,1
SUMATERA BARAT,Agam,14939509,5.06,6.85,72.57,0
SUMATERA BARAT,Lima Puluh Kota,11430548,2.25,7.29,69.68,0
SUMATERA BARAT,Pasaman,6330067,4.92,7.48,66.77,0
SUMATERA BARAT,Solok Selatan,4059515,4.84,7.52,69.23,0
SUMATERA BARAT,Dharmasraya,7709700,5.0,6.67,71.76,0
SUMATERA BARAT,Pasaman Barat,11682234,5.02,7.51,68.76,0
SUMATERA BARAT,Kota Padang,45227957,13.37,4.94,82.9,1
SUMATERA BARAT,Kota Solok,2936828,5.15,3.12,78.41,0
SUMATERA BARAT,Kota Sawah Lunto,2829590,6.38,2.38,72.88,0
SUMATERA BARAT,Kota Padang Panjang,2631518,4.9,5.92,77.97,0
SUMATERA BARAT,Kota Bukittinggi,6263130,6.09,5.14,80.7,1
SUMATERA BARAT,Kota Payakumbuh,4571927,6.47,6.16,79.08,1
SUMATERA BARAT,Kota Pariaman,3669629,6.09,4.38,77.07,1
RIAU,Kuantan Singingi,24689509,2.06,8.97,70.6,0
RIAU,Indragiri Hulu,31176538,3.32,6.18,70.01,0
RIAU,Indragiri Hilir,46921264,2.66,6.18,66.63,0
RIAU,Pelalawan,36538811,2.34,9.63,72.08,0
RIAU,Siak,54543286,4.34,5.18,73.98,0
RIAU,Kampar,53196375,4.27,7.82,73.02,0
RIAU,Rokan Hulu,26752468,2.25,10.4,69.67,0
RIAU,Bengkalis,74229737,6.63,6.64,73.58,1
RIAU,Rokan Hilir,46761280,3.25,7.18,69.34,0
RIAU,Kepulauan Meranti,13008808,4.43,25.68,65.7,2
RIAU,Kota Pekanbaru,72619083,8.29,2.83,81.58,1
RIAU,Kota Dumai,26068578,6.29,3.42,74.75,1
JAMBI,Kerinci,6844238,2.32,7.71,71.45,0
JAMBI,Merangin,10371678,4.83,9.11,69.53,0
JAMBI,Sarolangun,11397733,5.52,8.87,70.25,0
JAMBI,Batang Hari,12221193,4.26,10.05,70.11,0
JAMBI,Muaro Jambi,16847013,5.59,4.53,69.55,0
JAMBI,Tanjung Jabung Timur,17284926,1.56,11.39,64.91,0
JAMBI,Tanjung Jabung Barat,30976199,2.53,10.75,68.16,0
JAMBI,Tebo,10597493,2.83,6.68,69.35,0
JAMBI,Bungo,13133523,5.86,6.23,70.15,0
JAMBI,Kota Jambi,19515486,10.66,9.02,79.12,1
JAMBI,Kota Sungai Penuh,4768840,3.0,3.41,75.7,0
SUMATERA SELATAN,Ogan Komering Ulu,10114558,4.57,12.62,69.6,0
SUMATERA SELATAN,Ogan Komering Ilir,20909479,3.01,14.68,67.17,0
SUMATERA SELATAN,Muara Enim,43987266,5.03,12.32,68.86,0
SUMATERA SELATAN,Lahat,13002365,3.6,16.46,67.58,0
SUMATERA SELATAN,Musi Rawas,14032621,2.78,13.89,67.01,0
SUMATERA SELATAN,Musi Banyuasin,46128391,3.99,15.84,68.1,0
SUMATERA SELATAN,Banyu Asin,20767642,3.84,10.75,67.13,0
SUMATERA SELATAN,Ogan Komering Ulu Selatan,5985137,3.23,11.12,65.34,0
SUMATERA SELATAN,Ogan Komering Ulu Timur,10551001,3.18,10.6,69.58,0
SUMATERA SELATAN,Ogan Ilir,7775123,3.07,13.82,67.17,0
SUMATERA SELATAN,Empat Lawang,3605939,2.41,13.35,65.39,0
SUMATERA SELATAN,Penukal Abab Lematang Ilir,4819885,3.61,12.91,64.88,0
SUMATERA SELATAN,Musi Rawas Utara,5706543,6.72,20.11,64.93,0
SUMATERA SELATAN,Kota Palembang,107250192,10.11,11.34,78.72,1
SUMATERA SELATAN,Kota Prabumulih,5541968,5.86,12.2,74.67,0
SUMATERA SELATAN,Kota Pagar Alam,2332447,1.64,9.4,68.68,0
SUMATERA SELATAN,Kota Lubuklinggau,4470232,6.27,13.23,74.89,0
BENGKULU,Bengkulu Selatan,3742506,2.55,18.16,70.75,0
BENGKULU,Rejang Lebong,6274229,2.45,15.85,70.77,0
BENGKULU,Bengkulu Utara,5425357,3.51,11.61,69.28,0
BENGKULU,Kaur,2333305,3.45,18.62,67.17,0
BENGKULU,Seluma,2932955,3.44,18.72,67.03,0
BENGKULU,Mukomuko,3429923,3.68,11.93,68.64,0
BENGKULU,Lebong,2192263,3.18,12.0,67.46,0
BENGKULU,Kepahiang,2894350,1.89,14.83,68.62,0
BENGKULU,Bengkulu Tengah,2951442,4.07,9.68,67.96,0
BENGKULU,Kota Bengkulu,15833195,6.35,17.89,80.54,1
LAMPUNG,Lampung Barat,5053324,2.83,12.82,67.9,0
LAMPUNG,Tanggamus,10924782,2.93,11.81,66.65,0
LAMPUNG,Lampung Selatan,30541213,5.27,14.19,68.49,0
LAMPUNG,Lampung Timur,29000404,3.05,15.08,69.66,0
LAMPUNG,Lampung Tengah,48710038,4.31,11.99,70.23,0
LAMPUNG,Lampung Utara,16727892,6.14,19.63,67.89,0
LAMPUNG,Way Kanan,9736500,3.36,13.09,67.57,0
LAMPUNG,Tulangbawang,16062917,4.1,9.67,68.73,0
LAMPUNG,Pesawaran,11492493,4.19,15.11,66.14,0
LAMPUNG,Pringsewu,7870162,4.85,10.11,70.45,0
LAMPUNG,Mesuji,7107313,3.42,7.54,64.04,0
LAMPUNG,Tulang Bawang Barat,7970781,3.35,8.32,66.22,0
LAMPUNG,Pesisir Barat,3133190,3.08,14.81,64.3,0
LAMPUNG,Kota Bandar Lampung,39818098,8.85,9.11,77.58,1
LAMPUNG,Kota Metro,4358386,5.0,8.93,77.49,0
KEP. BANGKA BELITUNG,Bangka,10733700,5.97,4.81,72.46,0
KEP. BANGKA BELITUNG,Belitung,6710007,3.51,7.15,72.57,0
KEP. BANGKA BELITUNG,Bangka Barat,10331789,3.83,2.75,69.6,0
KEP. BANGKA BELITUNG,Bangka Tengah,5986898,4.95,5.13,70.89,0
KEP. BANGKA BELITUNG,Bangka Selatan,6275555,5.29,3.69,67.06,0
KEP. BANGKA BELITUNG,Belitung Timur,5713650,3.78,7.2,71.42,0
KEP. BANGKA BELITUNG,Kota Pangkal Pinang,9611883,6.81,4.76,78.57,1
KEPULAUAN RIAU,Karimun,9332771,7.2,6.85,71.7,0
KEPULAUAN RIAU,Bintan,13933491,8.62,6.42,74.57,1
KEPULAUAN RIAU,Natuna,14645400,5.15,4.95,73.09,0
KEPULAUAN RIAU,Lingga,2971547,4.23,13.93,65.83,0
