Klaster,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Indeks Pembangunan Manusia
0,12047650.76368876,4.181757925072046,11.260749279538905,69.2628530259366
1,59547181.547008544,8.74042735042735,7.658376068376068,76.83367521367522
2,2839615.4,2.5376,30.097800000000003,58.3722
