Provinsi,Kab/Kota,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Klaster
LAMPUNG,Pringsewu,7870162,0
LAMPUNG,Mesuji,7107313,0
LAMPUNG,Tulang Bawang Barat,7970781,0
LAMPUNG,Pesisir Barat,3133190,0
LAMPUNG,Kota Bandar Lampung,39818098,0
LAMPUNG,Kota Metro,4358386,0
KEP. BANGKA BELITUNG,Bangka,10733700,0
KEP. BANGKA BELITUNG,Belitung,6710007,0
KEP. BANGKA BELITUNG,Bangka Barat,10331789,0
KEP. BANGKA BELITUNG,Bangka Tengah,5986898,0
KEP. BANGKA BELITUNG,Bangka Selatan,6275555,0
KEP. BANGKA BELITUNG,Belitung Timur,5713650,0
KEP. BANGKA BELITUNG,Kota Pangkal Pinang,9611883,0
KEPULAUAN RIAU,Karimun,9332771,0
KEPULAUAN RIAU,Bintan,13933491,0
KEPULAUAN RIAU,Natuna,14645400,0
KEPULAUAN RIAU,Lingga,2971547,0
KEPULAUAN RIAU,Kepulauan Anambas,11108487,0
KEPULAUAN RIAU,Kota Batam,111068955,2
KEPULAUAN RIAU,Kota Tanjung Pinang,14020211,0
DKI JAKARTA,Kepulauan Seribu,3649179,0
DKI JAKARTA,Kota Jakarta Selatan,429398830,1
DKI JAKARTA,Kota Jakarta Timur,313842135,1
DKI JAKARTA,Kota Jakarta Pusat,460081046,1
DKI JAKARTA,Kota Jakarta Barat,327622101,1
DKI JAKARTA,Kota Jakarta Utara,330894597,1
JAWA BARAT,Bogor,159582645,2
JAWA BARAT,Sukabumi,47933519,0
JAWA BARAT,Cianjur,32897517,0
JAWA BARAT,Bandung,83947149,2
JAWA BARAT,Garut,39981191,0
JAWA BARAT,Tasikmalaya,25179475,0
JAWA BARAT,Ciamis,22774934,0
JAWA BARAT,Kuningan,17483024,0
JAWA BARAT,Cirebon,34128554,0
JAWA BARAT,Majalengka,22788754,0
JAWA BARAT,Sumedang,24414663,0
JAWA BARAT,Indramayu,59544866,2
JAWA BARAT,Subang,29023194,0
JAWA BARAT,Purwakarta,46840149,0
JAWA BARAT,Karawang,166941492,2
JAWA BARAT,Bekasi,251828575,1
JAWA BARAT,Bandung Barat,31701786,0
JAWA BARAT,Pangandaran,8022781,0
JAWA BARAT,Kota Bogor,33372476,0
JAWA BARAT,Kota Sukabumi,8851051,0
JAWA BARAT,Kota Bandung,200414035,2
JAWA BARAT,Kota Cirebon,17154552,0
JAWA BARAT,Kota Bekasi,69796936,2
JAWA BARAT,Kota Depok,49946927,0
JAWA BARAT,Kota Cimahi,23275779,0
JAWA BARAT,Kota Tasikmalaya,15981251,0
JAWA BARAT,Kota Banjar,3364261,0
JAWA TENGAH,Cilacap,91944588,2
JAWA TENGAH,Banyumas,40686808,0
JAWA TENGAH,Purbalingga,17731438,0
JAWA TENGAH,Banjarnegara,15536478,0
JAWA TENGAH,Kebumen,20253059,0
JAWA TENGAH,Purworejo,13582556,0
JAWA TENGAH,Wonosobo,14064765,0
JAWA TENGAH,Magelang,23661713,0
JAWA TENGAH,Boyolali,23447366,0
JAWA TENGAH,Klaten,28531109,0
JAWA TENGAH,Sukoharjo,27634118,0
JAWA TENGAH,Wonogiri,21251004,0
JAWA TENGAH,Karanganyar,27034108,0
JAWA TENGAH,Sragen,27355146,0
JAWA TENGAH,Grobogan,20115534,0
JAWA TENGAH,Blora,18126447,0
JAWA TENGAH,Rembang,13925516,0
JAWA TENGAH,Pati,31559079,0
JAWA TENGAH,Kudus,69556928,2
JAWA TENGAH,Jepara,21944232,0
JAWA TENGAH,Demak,18856416,0
JAWA TENGAH,Semarang,35946100,0
JAWA TENGAH,Temanggung,15387930,0
JAWA TENGAH,Kendal,31632276,0
JAWA TENGAH,Batang,15764266,0
JAWA TENGAH,Pekalongan,16615066,0
JAWA TENGAH,Pemalang,18916262,0
JAWA TENGAH,Tegal,25402911,0
JAWA TENGAH,Brebes,33456328,0
JAWA TENGAH,Kota Magelang,6513895,0
JAWA TENGAH,Kota Surakarta,36211248,0
JAWA TENGAH,Kota Salatiga,9820287,0
JAWA TENGAH,Kota Semarang,144710663,2
JAWA TENGAH,Kota Pekalongan,7601486,0
JAWA TENGAH,Kota Tegal,11290269,0
D I YOGYAKARTA,Kulon Progo,8778800,0
D I YOGYAKARTA,Bantul,19773332,0
D I YOGYAKARTA,Gunung Kidul,14216362,0
D I YOGYAKARTA,Sleman,35786977,0
D I YOGYAKARTA,Kota Yogyakarta,28390085,0
JAWA TIMUR,Pacitan,11107402,0
JAWA TIMUR,Ponorogo,14619969,0
JAWA TIMUR,Trenggalek,12959018,0
JAWA TIMUR,Tulungagung,27390424,0
JAWA TIMUR,Blitar,25700019,0
JAWA TIMUR,Kediri,29361672,0
JAWA TIMUR,Malang,68619103,2
JAWA TIMUR,Lumajang,22623402,0
JAWA TIMUR,Jember,54688719,2
JAWA TIMUR,Banyuwangi,55471065,2
JAWA TIMUR,Bondowoso,13921654,0
JAWA TIMUR,Situbondo,13715834,0
JAWA TIMUR,Probolinggo,23664388,0
JAWA TIMUR,Pasuruan,107630268,2
JAWA TIMUR,Sidoarjo,141000359,2
JAWA TIMUR,Mojokerto,60198699,2
JAWA TIMUR,Jombang,28553448,0
JAWA TIMUR,Nganjuk,18640685,0
JAWA TIMUR,Madiun,13372330,0
JAWA TIMUR,Magetan,13417032,0
JAWA TIMUR,Ngawi,13823456,0
JAWA TIMUR,Bojonegoro,65839509,2
JAWA TIMUR,Tuban,43984689,0
JAWA TIMUR,Lamongan,27896543,0
JAWA TIMUR,Gresik,101318686,2
JAWA TIMUR,Bangkalan,17152779,0
JAWA TIMUR,Sampang,13984568,0
JAWA TIMUR,Pamekasan,11496236,0
JAWA TIMUR,Sumenep,24161351,0
JAWA TIMUR,Kota Kediri,86485594,2
JAWA TIMUR,Kota Blitar,4924572,0
JAWA TIMUR,Kota Malang,53309702,2
JAWA TIMUR,Kota Probolinggo,8361142,0
JAWA TIMUR,Kota Pasuruan,5914585,0
JAWA TIMUR,Kota Mojokerto,4976490,0
JAWA TIMUR,Kota Madiun,10748101,0
JAWA TIMUR,Kota Surabaya,407726799,1
JAWA TIMUR,Kota Batu,11471435,0
BANTEN,Pandeglang,20127757,0
BANTEN,Lebak,21245043,0
BANTEN,Tangerang,97809902,2
BANTEN,Serang,54992522,2
BANTEN,Kota Tangerang,106705227,2
BANTEN,Kota Cilegon,77071368,2
BANTEN,Kota Serang,23374085,0
BANTEN,Kota Tangerang Selatan,62364158,2
BALI,Jembrana,8892801,0
BALI,Tabanan,14516578,0
BALI,Badung,29049519,0
BALI,Gianyar,17254614,0
BALI,Klungkung,5595883,0
BALI,Bangli,4384701,0
BALI,Karang Asem,10570603,0
BALI,Buleleng,21797733,0
BALI,Kota Denpasar,32447056,0
NUSA TENGGARA BARAT,Lombok Barat,10472388,0
NUSA TENGGARA BARAT,Lombok Tengah,12037665,0
NUSA TENGGARA BARAT,Lombok Timur,14410804,0
NUSA TENGGARA BARAT,Sumbawa,10221006,0
NUSA TENGGARA BARAT,Dompu,4979197,0
NUSA TENGGARA BARAT,Bima,8085529,0
NUSA TENGGARA BARAT,Sumbawa Barat,16416012,0
NUSA TENGGARA BARAT,Lombok Utara,3262262,0
NUSA TENGGARA BARAT,Kota Mataram,13476129,0
NUSA TENGGARA BARAT,Kota Bima,2939133,0
NUSA TENGGARA TIMUR,Sumba Barat,1452224,0
NUSA TENGGARA TIMUR,Sumba Timur,4009592,0
NUSA TENGGARA TIMUR,Kupang,4885118,0
NUSA TENGGARA TIMUR,Timor Tengah Selatan,4883924,0
NUSA TENGGARA TIMUR,Timor Tengah Utara,2949220,0
NUSA TENGGARA TIMUR,Belu,3020198,0
NUSA TENGGARA TIMUR,Alor,2045994,0
NUSA TENGGARA TIMUR,Lembata,1180363,0
NUSA TENGGARA TIMUR,Flores Timur,3517877,0
NUSA TENGGARA TIMUR,Sikka,3371315,0
NUSA TENGGARA TIMUR,Ende,4162984,0
NUSA TENGGARA TIMUR,Ngada,2335872,0
NUSA TENGGARA TIMUR,Manggarai,3025880,0
NUSA TENGGARA TIMUR,Rote Ndao,1971699,0
NUSA TENGGARA TIMUR,Manggarai Barat,2296768,0
