Klaster,PDRB atas Dasar Harga Konstan menurut Pengeluaran (Rupiah),Tingkat Pengangguran Terbuka,Persentase Penduduk Miskin (P0) Menurut Kabupaten/Kota (Persen),Indeks Pembangunan Manusia,Persentase rumah tangga yang memiliki akses terhadap sanitasi layak,Persentase rumah tangga yang memiliki akses terhadap air minum layak,Rata-rata Lama Sekolah Penduduk 15+ (Tahun)
0,12202101.4305949,4.278441926345609,12.184390934844194,68.60784702549574,77.231388101983,84.03971671388102,8.069376770538243
1,54488321.41732284,8.07503937007874,7.629842519685039,77.43244094488189,89.14984251968504,96.31574803149607,10.290944881889764
2,1828741.205882353,1.9047058823529412,30.53882352941176,55.584411764705884,32.271764705882354,54.76764705882353,5.322941176470588
